w	def
ដំឡូងគ	[dɑmlooŋ kɔɔ] [[ដំឡូង]] [[គ]] <br>1). See: ដំឡូងឈើ
ដំឡូងជ្រូក	[dɑmlooŋ cruuk] [[ដំឡូង]] [[ជ្រូក]] <br>1). wild yam (Dioscorea oryzetorum)
ដំឡូងជ្រៅ	[dɑmlooŋ crɨv] [[ដំឡូង]] [[ជ្រៅ]] <br>1). kind of potato or yam
ដំឡូងជ្វា	[dɑmlooŋ cvie] [[ដំឡូង]] [[ជ្វា]] <br>1). sweet potato (Ipomea batatas);<br> greater or winged yam (Dioscorea alata)
ដំឡូងឈាមមាន់	[dɑmlooŋ cʰiem moan] [[ដំឡូង]] [[ឈាម]] [[មាន់]] <br>1). kind of yam (Dioscorea alata, D. cirrhosa)
ដំឡូងឈើ	[dɑmlooŋ cʰəə] [[ដំឡូង]] [[ឈើ]] <br>1). manioc (Manihot esculenta)
ដំឡូងដូង	[dɑmlooŋ dooŋ] [[ដំឡូង]] [[ដូង]] <br>1). kind of yam (Dioscorea globosa)
ដំឡូងដៃខ្លា	[dɑmlooŋ day klaa] [[ដំឡូង]] [[ដៃខ្លា]] <br>1). kind of vine with edible tubers which resemble a tiger's paw (Dioscorea alata or Convolvolus mammosus)
ដំឡូងត្រែង	[dɑmlooŋ traeŋ] [[ដំឡូង]] [[ត្រែង]] <br>1). kind of potato or yam
ដំឡូងទឹក	[dɑmlooŋ tɨk] [[ដំឡូង]] [[ទឹក]] <br>1). kind of yam (Dioscorea pentaphylla)
ដំឡូងទៀន	[dɑmlooŋ tiən] [[ដំឡូង]] [[ទៀន]] <br>1). kind of yam (Dioscorea brevipetiolata or D. oppositifolia)
ដំឡូងបារាំង	[dɑmlooŋ baaraŋ] [[ដំឡូង]] [[បារាំង]] <br>1). white potato
ដំឡូងបាស	[dɑmlooŋ baah] [[ដំឡូង]] [[បាស]] <br>1). kind of tuberous plant
ដំឡូងពងប្រវឹក	[dɑmlooŋ pɔɔŋ prɑvɨk] [[ដំឡូង]] [[ពង]] [[ប្រវឹក]] <br>1). kind of tuberous plant
ដំឡូងពងលលក	[dɑmlooŋ pɔɔŋ lɔlɔɔk] [[ដំឡូង]] [[ពងលលក]] <br>1). kind of tuberous plant
ដំឡូងពស់	[dɑmlooŋ pʊəh] [[ដំឡូង]] [[ពស់]] <br>1). kind of potato or yam
ដំឡូងភ្លុក	[dɑmlooŋ pluk] [[ដំឡូង]] [[ភ្លុក]] <br>1). kind of yam (Dioscorea alata or D. eburnea)
ដំឡូងមី	[dɑmlooŋ mii] [[ដំឡូង]] [[មី]] <br>1). See: ដំឡូងឈើ
ដំឡូងមូល	[dɑmlooŋ muul] [[ដំឡូង]] [[មូល]] <br>1). round potato <br>2). to be stupid, ignorant
ដំឡូងយារ	[dɑmlooŋ yie] [[ដំឡូង]] [[យារ]] <br>1). kind of non-edible tuber;<br> potato that has been left in the ground too long and is not fit to eat
ដំឡូងសាយត្នោត	[dɑmlooŋ saay tnaot] [[ដំឡូង]] [[សាយ]] [[ត្នោត]] <br>1). kind of yam (Dioscorea pentaphylla)
ដំឡូងស្យា	[dɑmlooŋ syaa] [[ដំឡូង]] [[ស្យា]] <br>1). Chinese or spiny yam (Dioscorea esculenta;<br> it is large and spiny with fibrous meat;<br> the tubers are used as seasoning) See: ដំឡូង អខ្យា
ដំឡូងស្រំ	[dɑmlooŋ sram] [[ដំឡូង]] [[ស្រំ]] <br>1). kind of tuberous plant
ដំឡូងអខ្យា	[dɑmlooŋ ʔakʰyaa] [[ដំឡូង]] [[អខ្យា]] <br>1). See: ដំឡូងស្យា
ដំឡើង	[dɑmlaəŋ] <br>1). v to raise, lift up, hoist, elevate;<br> to mount;<br> to (re)assemble <br>2). v to augment, increase (in size or volume), reinforce <br>3). v to draw / string (a bow);<br> to set / activate (a trap);<br> to operate;<br> to aim <br>4). v to perform (a propitiatory) ceremony <br>5). n high water, flood;<br> high-water season
ដំឡើងកៃកាំភ្លើង	[dɑmlaəŋ kay kampləəŋ] [[ដំឡើង]] [[កៃកាំភ្លើង]] <br>1). to load a gun
ដំឡើងឆត្រ	[dɑmlaəŋ cʰat] [[ដំឡើង]] [[ឆត្រ]] <br>1). to open an umbrella
ដំឡើងថ្លៃ	[dɑmlaəŋ tlay] [[ដំឡើង]] [[ថ្លៃ]] <br>1). to raise prices
ដំឡើងថ្លៃម៉ឺង	[dɑmlaəŋ tlay məəy] [[ដំឡើង]] [[ថ្លៃ]] [[ម៉ឺង]] <br>1). to raise prices (and maintain them at that level)
ដំឡើងធ្នូ	[dɑmlaəŋ tnuu] [[ដំឡើង]] [[ធ្នូ]] <br>1). to draw / string a bow
ដំឡើងផលិតភាពនៃការងារ	[dɑmlaəŋ pʰɑlɨt~pʰɑllɨt pʰiep ney kaa ŋie] [[ដំឡើង]] [[ផលិតភាព]] [[នៃ]] [[ការងារ]] <br>1). to raise labor productivity
ដំឡើងម៉ាស៊ីន	[dɑmlaəŋ maasɨn~maasiin] [[ដំឡើង]] [[ម៉ាស៊ីន]] <br>1). to assemble an engine
ដំឡើងរោម	[dɑmlaəŋ room] [[ដំឡើង]] [[រោម]] <br>1). to bristle (of animals), erect the hairs (of animals)
ដំឡើងស័ក្តិ	[dɑm laəŋ ------ ] [[ដំ]] [[ឡើងស័ក្តិ]] <br>1). to promote (someone to a higher rank)
ដំឡើងឫក	[dɑmlaəŋ rɨk] [[ដំឡើង]] [[ឫក]] <br>1). to put on airs
ដំឡើងឫទ្ធិ	[dɑmlaəŋ rɨt] [[ដំឡើង]] [[ឫទ្ធិ]] <br>1). to show power, show off (one's strength or supernatural power)
ដំឡៃ	<br>1). See: តំឡៃ
ដំឡោក	[dɑmlaok] <br>1). adj having developed ahead of time;<br> to be larger than normal, overgrown
ដំឡោះ	<br>1). See: តំឡោះ
ដំអក់	[dɑmʔɑk] <br>1a). adj to be slow. <br>1b). v to loiter, linger. <br>1c). adv slowly, lazily;<br> barely, hardly
ដំអឹង	<br>1). See: តំអឹង
ដំអូញ	<br>1). See: តំអូញ
ដំឲ្យទក់	[dɑm ʔaoy tʊək] [[ដំ]] [[ឲ្យ]] [[ទក់]] <br>1). to soften (something) by beating
ដ៏	[dɑɑ] <br>1). pap pre-adjectival particle used esp. in formal and literary styles to link an attribute or clause to a noun or a verb to its object;<br> its use is not required, but when it occurs it seems to give the phrase somewhat more emphasis. ក្នុងពេល ដ៏ខ្លីនេះ during this short time ទន្លេមេគង្គ ជាទន្លេដ៏ធំមួយក្នុងចំណោមទន្លេធំៗទាំងឡាយក្នុងពិភពលោក The Mekong River is one of the major rivers among all the major rivers in the world. <br>2). rel. pron. who, which
ដ៏កំពូល	[dɑɑ kɑmpuul] [[ដ៏]] [[កំពូល]] <br>1). topmost, highest
ដ៏បវរ	[dɑɑ bɑɑvɑɑ] [[ដ៏]] [[បវរ]] <br>1). excellent, beautiful
ដ៏លង់	[dɑɑ lʊəŋ] [[ដ៏]] [[លង់]] <br>1). See: ដ៏ឡុង
ដ៏ហើយ	[dɑɑ haǝy] [[ដ៏]] [[ហើយ]] <br>1). made entirely (of), consisting of (something) ប្រាសាទដ៏ហើយដោយថ្ម stone palace
ដ៏ឡុង	[dɑɑ ------ ] [[ដ៏]] [[ឡុង]] <br>1). a very long time, long (in time)
ដ្បិត	[dbət] <br>1). conj because, because of, since, although
ដ្បិតតែ	[------ tae] [[ដ្បិត]] [[តែ]] <br>1). although
ដ្បិតអី	[------ ʔəy] [[ដ្បិត]] [[អី]] <br>1). because, since
ដ្រាវិឌ	[draavɨt] <br>1). n Dravidian
ឋ	[tʰɑɑ] <br>1). twelfth letter of the Cambodian alphabet (esp. in medial and final position ឋ varies with ដ្ឋ​ in initial position it may also vary with ថ )
ឋបនកម្ម	[tʰaʔpaʔnaʔkam] <br>1). n establishment, equipment, installation, installment
ឋបនភណ្ឌ	[tʰaʔpaʔnaʔpʰoan] <br>1). n installations, fittings, plant, machinery, something that is installed or used
ឋបនាការ	[tʰaʔpaʔnaʔkaa] <br>1). n installation (e.g. of a machine) See: ថបនាការ
ឋបនីយ	[tʰaʔpaʔnəy, tʰaʔpaʔnəyyaʔ-] <br>1). n reservation, keeping as a reserve
ឋបនីយភណ្ឌ	[tʰaʔpaʔnəy pʰoandeaʔ~pʰoan] [[ឋបនីយ]] [[ភណ្ឌ]] <br>1). things / property kept in reserve
ឋបនីយវត្ថុ	[tʰaʔpaʔnəy voattʰoʔ] [[ឋបនីយ]] [[វត្ថុ]] <br>1). See: ឋបនីយភណ្ឌ
ឋបនោកាស	[tʰaʔpaʔnaokaah] <br>1). n storeroom;<br> storage
ឋបនោបាយ	[tʰaʔpaʔnaobaay] <br>1). n scheme, strategy, plan
ឋាន	[tʰaan, tʰaanaʔ-] <br>1). n place, location, spot, station;<br> base (e.g. a military base or the base of a statue);<br> region;<br> country <br>2). n background (color or pattern) See: ដ្ឋាន, fan) (var. ស្ថាន
ឋានទ័ព	[tʰaan toap] [[ឋាន]] [[ទ័ព]] <br>1). military base
ឋាននរក	[tʰaan nɔrʊək] [[ឋាន]] [[នរក]] <br>1). hell
ឋាននរកលោកិយ	[tʰaan nɔrʊək lookeʔyaʔ~lookǝy] [[ឋាន]] [[នរកលោកិយ]] <br>1). hellhole on earth
ឋាននាមវិទ្យា	[tʰaan niem ------] [[ឋាន]] [[នាម]] [[វិទ្យា]] <br>1). toponymy
ឋាននិព្វាន	[tʰaan nippien~niʔpien] [[ឋាន]] [[និព្វាន]] <br>1). Nirvana
ឋានន្តរ	[tʰaanɑndɑɑ, tʰaanɑntaʔraʔ] <br>1). n title, rank, position, function, office, appointment (with title and designation of duties)
ឋានន្តរសក្តិ	[tʰaanɑntaʔraʔ~tʰaanɑndɑɑ sak] [[ឋានន្តរ]] [[សក្តិ]] <br>1). (hierarchical) rank, title, position, administrative function
ឋានន្តរសាកលវិទ្យាល័យ	[tʰaanɑntaʔraʔ~tʰaanɑndɑɑ saakɑl vittyielay] [[ឋានន្តរ]] [[សាកលវិទ្យាល័យ]] <br>1). university diploma
ឋានបទ្ម	[tʰaan ------ ] [[ឋាន]] [[បទ្ម]] <br>1). motif of lotus flowers used in Cambodian sculpture (esp. along the edges of pedestals of statues of the Buddha)
ឋានប្បភេទ	[tʰaanappaʔpʰeit] <br>1). n part, section, element, division;<br> composition
ឋានប្រព័ន្ធ	[tʰaan prɑpoan] [[ឋាន]] [[ប្រព័ន្ធ]] <br>1). ecosystem
ឋានព្រះពុទ្ធរូប	[tʰaan preah put ruup] [[ឋាន]] [[ព្រះពុទ្ធរូប]] <br>1). pedestal supporting an image of the Buddha
ឋានភាព	[tʰaan pʰiep] [[ឋាន]] [[ភាព]] <br>1). position, status, rank, class;<br> situation
ឋានភុជង្គនាគ	[tʰaan pʰuʔcʊəŋ niek] [[ឋាន]] [[ភុជង្គនាគ]] <br>1). the under-water world of the nagas
ឋានមនុស្ស	[tʰaan mɔnuh~meaʔnuh~mɔnɨh] [[ឋាន]] [[មនុស្ស]] <br>1). earth, human world, world of human awareness
ឋានលេខសាស្ត្រ	[tʰaan leek saah] [[ឋាន]] [[លេខសាស្ត្រ]] <br>1). topography
ឋានលេខា	[tʰaan leekʰaa] [[ឋាន]] [[លេខា]] <br>1). topographer
ឋានវតី	[tʰaan ------ ] [[ឋាន]] [[វតី]] <br>1). enclosure;<br> paddock;<br> walled or fenced farmyard
ឋានសមាជិក	[tʰaan saʔmaacɨk] [[ឋាន]] [[សមាជិក]] <br>1). staff member, official member
ឋានសួគ៌	[tʰaan suǝ] [[ឋាន]] [[សួគ៌]] <br>1). heaven, paradise
ឋានានុក្រម	[tʰaanaanuʔkrɑm] <br>1). n rank, degree, grade, level;<br> specif. an ecclesiastical rank
ឋានានុរូប	[tʰaanaanuʔruup] <br>1a). adj to be proper, appropriate. <br>1b). n position (social or official);<br> that which is proper or appropriate
ឋានីយ	<br>1). See: ស្ថានីយ
ឋានៈ	[tʰaanaʔ] <br>1). n grade, level, position, standing, status;<br> duty;<br> reason, motive, cause See: ថានៈ
ឋាមពល	[tʰaameaʔpʊəl] <br>1). n energy, power, force See: ថាមពល
ឋិត	[tʰət] <br>1). v to be located / situated / established;<br> to reside, stay, remain See: ស្ថិត
ឋិតថេរ	[tʰət tʰeɛ] [[ឋិត]] [[ថេរ]] <br>1). to be invariable, constant;<br> permanent;<br> enduring, long-lasting, protracted;<br> eternal;<br> firm, solid;<br> elder, senior;<br> continuously, unceasingly See: ស្ថិតស្ថេរ
ឋិតថេរចីរ	[tʰət tʰeɛ ------] [[ឋិតថេរ]] [[ចីរ]] <br>1). to be everlasting
ឋិតថេរចីរកាល	[tʰət tʰeɛ ------ kaal] [[ឋិតថេរចីរ]] [[កាល]] <br>1). eternity;<br> the hereafter;<br> long period of time
ឋិតនៅ	[tʰət nɨv] [[ឋិត]] [[នៅ]] <br>1). to be located See: ស្ថិតនៅ
ឋិតិ	[tʰeʔteʔ] <br>1). n life, being, existence;<br> statics See: ស្ថិតិ
ឋិតិកាល	[tʰeʔteʔ kaal] [[ឋិតិ]] [[កាល]] <br>1). period of existence / survival
ឋិតិភាព	[tʰeʔteʔ pʰiep] [[ឋិតិ]] [[ភាព]] <br>1). manner of existence
ឌ	[dɔɔ] <br>1). thirteenth letter of the Cambodian alphabet
ឌមជន	[deaʔmeaʔcʊən] <br>1). n worker of the lowest class;<br> barbarian
ឌាកិនី	[diekeʔnii] <br>1). n female demon
ឌាឌិម	[diedɨm] <br>1). n pomegranate See: ឌាលិម, ទទឹម​
ឌាហរោគ	[diehaʔrouk] <br>1). n high fever
ឌាំង	[deaŋ] <br>1). adj to be big and strong
ឌិកតេ	[dɨktee] <br>1a). n dictation. <br>1b). v to dictate French
ឌិន	[dɨn] <br>1). n metallic thread used for embroidery, tinsel
ឌីត	[diit] <br>1). adj to be fashionable, stylish <br>2). v to flirt (esp. with girls) French ប៉ុន្មានកន្លះឆ្នាំមុនអាធីឌីតកូនលោកសក្តិ៤កន្លះម្នាក់ធ្វើសង្សារបានយ៉ាងស្រួល About half a year before, Mr. Thi flirted with a lieutenant colonel's daughter and easily became her lover.
ឌីប្លូម	[diiploom] <br>1). n diploma (junior high school certificate) French
ឌីប្លូម៉ាត	[diiploomaat] <br>1). n diplomat French
ឌឺ	[dɨɨ] <br>1a). adj to be obstinate. <br>1b). v to persist;<br> to oppose, resist;<br> to defame, abuse, use bad language, curse
ឌឺដង	[dɨɨ dɑɑŋ] [[ឌឺ]] [[ដង]] <br>1). to be sarcastic, insinuate, insult indirectly;<br> to flirt, tease See: ដឺដង
ឌុដាន់	[duʔdan] <br>1). v to harass, disturb, annoy See: ឌុកដាន់, ដុកដាន់
ឌុន	[dun] <br>1a). n analogous words, analogy. <br>1b). adj to be analogous, comparable
ឌុប	[dup] <br>1). v to ride double (e.g. on a bike or motorcycle) French
ឌូយ	[duuy] <br>1). n socket (for a light bulb) French
ឌូសេត	[duuseet] <br>1). n<br>12). .7 (mm. machine gun) French
ឌេបនកម្ម	[deipaʔnaʔkam] <br>1). n killing
ឌេបនាការ	[deipaʔnaakaa] <br>1). n abandoning, throwing away
ឍ	[tʰɔɔ] <br>1). fourteenth letter of the Cambodian alphabet
ឍាមរា	[tʰiemeaʔrie] <br>1). n (sacred) goose / swan
ឍាល	[tʰiel] <br>1). n tom-tom, large drum <br>2). n shield
ឍាលិន	[tʰielin] <br>1). n person armed with a shield
ឍុណ្ឍិ	[tʰuntʰiʔ] <br>1). n Ganesha (son of Shiva)
ណ	[nɑɑ] <br>1). fifteenth letter of the Cambodian alphabet
ណង់	[nɑŋ] <br>1). Surin dial. form of និង​ and នឹង
ណតណយ	[nɑɑt - nɑɑy] <br>1). i sounds of the ស្រឡៃ (a quadruple-reed shawm) See: ណយណយ, តតតយ
ណយ	[nɑɑy] <br>1). adj to be small, insufficient
ណា	[naa] <br>1). n (in questions) where? (in / at) what place? (in negative statements or indefinite clauses) anywhere;<br> (in emphatic clauses) wherever, anywhere <br>2). postnp (in questions) which? what kind of? (in indefinite, negative, or emphatic clauses) any, any kind of, any whatever <br>3). n visor
ណាខ្លះ	[naa klah] [[ណា]] [[ខ្លះ]] <br>1). (in interrogative clauses) which? which ones? (plural);<br> (in affirmative clauses) some;<br> (in indefinite or emphatic clauses) any (plural) ក្នុងចំណោមកូនសិស្សលោកទាំង១០នាក់ នោះ តើអ្នកណាខ្លះរៀនពូកែជាងគេ​? Among all 10 of your students, which ones are the best?
ណាគ្រី	[naakrii] <br>1a). n kind of plant (Cestrum nocturnum, with highly aromatic pale yellow flowers). <br>1b). prostitute See: ផ្ការាត្រី
ណាដល់ពេល	[naa dɑl peel] [[ណា]] [[ដល់ពេល]] <br>1). when it was already time (to / for)
