w	def
កងបញ្ជូនសារ	[kɑɑŋ bɑɲcuun saa~saaraʔ] [[កង]] [[បញ្ជូន]] [[សារ]] <br>1). signal corps
កងបូរ័ណ	[kɑɑŋ ------] [[កង]] [[បូរ័ណ]] <br>1). auxiliary (troops)
កងប៉ូលិសពិសេស	[kɑɑŋ poolih piʔsaeh~piʔseeh] [[កង]] [[ប៉ូលិស]] [[ពិសេស]] <br>1). special police (brigade)
កងប្រយុទ្ធ	[kɑɑŋ prɑyut] [[កង]] [[ប្រយុទ្ធ]] <br>1). combat unit
កងផលិត	[kɑɑŋ pʰɑlɨt~pʰɑllɨt] [[កង]] [[ផលិត]] <br>1). production unit (KR factory workers' unit)
កងពល	[ធំ ថ្មើរជើង :: kɑɑŋ pʊəl tʰom tmaə cəəŋ ] [[ធំ]] [[ថ្មើរជើង]] [[::]] [[កងពល]] [[ធំ]] [[ថ្មើរជើង]] <br>1). division, brigade
កងពលតូច	[kɑɑŋ pʊəl tooc~tuuc] [[កងពល]] [[តូច]] <br>1). brigade
កងពលតូចសំណង់អគារ	[kɑɑŋ pʊəl tooc~tuuc sɑmnɑŋ ʔaʔkie] [[កងពលតូច]] [[សំណង់]] [[អគារ]] <br>1). engineer construction brigade
កងពលធំ	[kɑɑŋ pʊəl tʰom] [[កង]] [[ពល]] [[ធំ]] <br>1). division
កងពលធំថ្មើរជើង	[kɑɑŋ pʊəl tʰom tmaə cəəŋ] [[កងពលធំ]] [[ថ្មើរជើង]] <br>1). infantry division
កងពិសេស	[kɑɑŋ piʔsaeh~piʔseeh] [[កង]] [[ពិសេស]] <br>1). commando force, special force(s) <br>##1). commando unit, special forces
កងព័ន្ធ	[kɑɑŋ poan] <br>1). n stationary boat with a flag used to mark individual lanes in boat races
កងមនុស្សចាស់	[kɑɑŋ mɔnuh~meaʔnuh~mɔnɨh cah] [[កង]] [[មនុស្សចាស់]] <br>1). See: កងជរា
កងមុខ	[kɑɑŋ muk] [[កង]] [[មុខ]] <br>1). vanguard, front-line troops
កងយកការសំងាត់	[kɑɑŋ yɔɔ kɑɑ kaa ------] [[កង]] [[យក]] [[ការសំងាត់]] <br>1). reconnaissance platoon, intelligence platoon
កងយាមល្បាត	[kɑɑŋ yiem lbaat] [[កង]] [[យាមល្បាត]] <br>1). guard platoon;<br> troops on guard duty
កងយោធពលខេមរភូមិន្ទ	[kɑɑŋ yootʰeaʔ pʊəl --i4-- ] [[កង]] [[យោធពលខេមរភូមិន្ទ]] <br>1). Royal Cambodian Armed Forces (1953 - 1970)
កងយោធពលជាតិ	[kɑɑŋ yootʰeaʔ pʊəl ciet] [[កង]] [[យោធពល]] [[ជាតិ]] <br>1). national armed forces
កងរក្សាខែត្រ	[kɑɑŋ reaksaa kʰaet] [[កង]] [[រក្សា]] [[ខែត្រ]] <br>1). provincial guard
កងរណសិរ្សសេរីកាជាតិ	[kɑɑŋ reaʔnaʔseɛ seɛrǝy kaa ciet] [[កង]] [[រណសិរ្ស]] [[សេរីកា]] [[ជាតិ]] <br>1). Armed Forces of the National Liberation Front (military forces of the KPNLF)
កងរថក្រោះ	[kɑɑŋ rʊət krɑh] [[កង]] [[រថក្រោះ]] <br>1). armored corps, armored unit
កងរយ	[kɑɑŋ rɔɔy] [[កង]] [[រយ]] <br>1). See: កងអនុសេនាធំ
កងរាជតំរួត	[kɑɑŋ riec tɑmruət] [[កង]] [[រាជតំរួត]] <br>1). provincial guard
កងរំពង	[kɑɑŋ rumpɔɔŋ] [[កង]] [[រំពង]] <br>1). loudly, noisily, in a roaring manner, tumultuously
កងវរ(សេនា)	<br>1). battalion
កងវរសេនាតូច	[kɑɑŋ vɔɔ seɛnaa tooc~tuuc] [[កង]] [[វរ]] [[សេនា]] [[តូច]] <br>1). battalion
កងវរសេនាតូចបន្ថែម	[kɑɑŋ vɔɔ seɛnaa tooc~tuuc bɑntʰaem] [[កងវរសេនាតូច]] [[បន្ថែម]] <br>1). reinforced battalion
កងវរសេនាធំ	[kɑɑŋ vɔɔ seɛnaa tʰom] [[កង]] [[វរ]] [[សេនា]] [[ធំ]] <br>1). regiment
កងវាយលុក	[kɑɑŋ viey~vay luk] [[កង]] [[វាយលុក]] <br>1). assault unit
