ben	bdef
moral philosophy	(area of philosophy concerned with theories of ethics) <p-l>ទស្សនវិជ្ជាខាងផ្នែក សីលធម៌។</p-l>
moral sense	(a sense of right and wrong according to conscience) <p-l>វិចារណញ្ញាណ</p-l>
moral sense	(hermeneutics: a sense of understanding Scripture that draws lessons from everyday life and behaviour) <p-l>អត្ថន័យដោយសីលធម៌។</p-l>
Moravians	(members of a Protestant denomination whose name comes from exiles escaping persecution in Moravia, and settling in Saxony in 1722) <p-l>ពួកម៉ារ៉ាជ្យ។</p-l>
Mordecai	<p-l>ម៉ាដេកាយ</p-l>
Moriah, land of...	<p-l>ស្រុកម៉ូរីយ៉ា</p-l> (Mount...) <p-l>ភ្នំម៉ូរីយ៉ា</p-l>
Mormonism	(the religious tradition of the Latter Day Saints movement, founded by Joseph Smith Jr. in the United States in the 1820's) <p-l>សាសនាមរមន។</p-l>
Morris, Leon	[Australian NT scholar (1914-2006)] <p-l>បណ្ឌិតម៉ូរីស។</p-l>
mortality	(the condition of being subject to death) <p-l>មរណធម៌</p-l> (informal) <p-l>ភាពអាចនឹងស្លាប់</p-l>
mortal	(adj) <p-l>ដែលនឹងស្លាប់ (គ.បៈ : សាច់ឈាមប៉ុណ្ណោះ គ.ខ.បៈ : លោកីយ៍)។</p-l>
mortar	(a mixture used as a bond between bricks or stones) <p-l>បាយអ</p-l>
mortify	(vb) (to subdue and bring under control) <p-l>បង្ក្រាប</p-l>
Mosaic	(adj) (of Moses) <p-l>របស់ម៉ូសេ ដូចម៉ូសេ</p-l>
Mosaic Covenant	(the covenant between God and the nation of Israel established at Mt. Sinai) <p-l>សម្ព័ន្ធមេត្រីម៉ូសេ។</p-l>
Mosaic Law	(the Pentateuch) <p-l>ក្រឹត្យវិន័យម៉ូសេ</p-l>
Mosaic Prophet	(the Jews believed that Moses predicted this prophet to arrive at the "end times") <p-l>ហោរាពិសេសដែលម៉ូសេបានទាយ។</p-l>
Moses	<p-l>ម៉ូសេ</p-l>
Moses, The Testament of...	(a Jewish apocryphal pseudepigraphical work, known from a single incomplete Latin manuscript) <p-l>ឯកសារ «សញ្ញារបស់លោកម៉ូសេ»។</p-l>
Moses, Assumption of...”	<p-l>សូមមើល</p-l> “Assumption of Moses"
mosque	(a Muslim place of worship) <p-l>វិហារអ៊ីស្លាម</p-l>
Mosque Al-Aqsa	(a mosque located in the Old City of Jerusalem on the Temple Mount, the place where the Temple is generally accepted to have stood) <p-l>វិហារអ៊ីស្លាមអិល អក្សា។</p-l>
Most High, the...	(a reference to God focusing upon his supremity) <p-l>ព្រះដ៏ខ្ពស់បំផុត (គ.បៈ ព្រះដ៏ខ្ពស់បំផុត គ.ខ.បៈ ព្រះដ៏ខ្ពង់ខ្ពស់បំផុត)។</p-l>
mother-church	(the original church of a country or region) <p-l>ក្រុមជំនុំដើម</p-l>
motif	(a theme elaborated in a document/piece of literature) <p-l>សេចក្តីសំខាន់ គំនិតសំខាន់ គំនិត ដ៏ជាខ្លឹមសារ។</p-l>
motif	(a recurring shape or design in a pattern) <p-l>គំរូសម្រាប់តុបតែងលំអ</p-l>
motive	(reason for a certain course of action) <p-l>បំណងចិត្ត</p-l>
Moule, C. F. D.	[a leading New Testament scholar and Professor of Divinity at Cambridge University from 1951 to 1976 (1908-2009)] <p-l>បណ្ឌិត មូឡេ</p-l> (short) <p-l>មូឡេ។</p-l>
mourn	(vb) (to grieve over loss or misfortune) <p-l>យំសោក</p-l>
mouth	(the opening through which humans make vocal sounds) <p-l>មាត់</p-l> (div) <p-l>ព្រះឱស្ឋ</p-l>
MS	(abbreviation "manuscript") <p-l>ឯកសារសរសេរដោយដៃ</p-l> MSS (pl)
Mt.	(abbreviation "Gospel of Matthew") <p-l>ម៉ាថ</p-l>.
Mt.	(abbreviation "mount" / "mountain") <p-l>ភ្នំ</p-l>
MT	(abbreviation "Massoretic text”) <p-l>ព្រះគម្ពីរម៉ាស់សូរទឹក</p-l>
Mukish	(an ancient district in Syria, associated with Alalah) <p-l>ក្រុងមូគីស្ស</p-l>
multculturalism	(cultural diversity and demographic make-up of a specific place) <p-l>ពហុ វប្បធម៌។</p-l>
multitude	(a large gathering of people) <p-l>ហ្វូងយ៉ាងធំ (គ.បៈ ហ្វូងយ៉ាងធំ គ.ខ.បៈ : មហាជនដ៏ច្រើន)</p-l>
multitude	(a large group of people beyond measure) <p-l>សន្ធឹកឥតគណនា (គ.បៈ : សន្ធឹកឥតគណនា គ.ខ.ប : ច្រើនឥតគណនា) ។</p-l>
Muratorian Canon	[an 8th Century Latin manuscript discovered by L. A. Muratori (16721750), presumed to be a Western text composed in Greek about 200 AD] <p-l>«ក្រុម ឯកសារមូរ៉ាតួរាន»។</p-l>
murder	(vb) (the unlawful pre-meditated killing of one human being by another) <p-l>ធ្វើឃាត</p-l>
murder	(n) <p-l>ឃាតកម្ម</p-l> murderer <p-l>ឃាតករ។</p-l>
murmur	(vb) (to complain, grumble) <p-l>រអ៊ូរទាំ [(គ.ប : ត្អូញត្អែរ ឌុកដាន់ រទូរទាំ ខ្សឹបខ្សៀវ) (គ.ខ.បៈ : រអ៊ូរទាំ ខ្សឹបខៀវ)]</p-l> (short) <p-l>រអ៊ូ។</p-l>
Mursili I	(a Hittite king c. 1556-1526 BC) <p-l>ស្តេចមើស៊ីលីទី១</p-l>
Mursili III	(a Hittite king c. 1272-1265 BC) <p-l>ស្តេចមើស៊ីលីទី៣</p-l>
music	(art form consisting of sequences of sounds in time, especially tones of definite pitch organized melodically, harmonically, and rhythmically) <p-l>ភ្លេង តន្ត្រី។</p-l>
music and musical instruments	[NBD] <p-l>«តន្ត្រី និងឧបករណ៍តន្ត្រីទាំងឡាយ»</p-l>
musical instrument	(device created or adapted for making musical sounds) <p-l>ឧបករណ៍តន្ត្រី</p-l>
Muslim	(a follower of the religion of Islam) <p-l>មូស្លីម (អ្នកកាន់សាសនាអ៊ីស្លាម)</p-l>
mustard seed	(a type of small seed) <p-l>គ្រាប់ពូជម្យ៉ាងដ៏ល្អិត</p-l>
mutatis mutandis	(Latin: phrase meaning "changing only those things which need to to be changed") <p-l>ដោយមានការផ្លាស់ប្តូរសមរម្យ (ភាសាឡាតាំង)។</p-l>
mutilate	(vb) (to dismember or damage) <p-l>កាយវិកល</p-l> mutilation <p-l>កាយវិកលកម្ម (គ.បៈ កាត់ស្បែកក្លែងក្លាយ កាត់ គ.ខ.ប : ការកាត់ស្បែកក្លែងក្លាយ ភ្ញៀវ)។</p-l>
Mycenae	(a military stronghold that was one of the major centres of Greek civilization in the Second Millennium BC) <p-l>ក្រុងមីគេណៃ។</p-l>
Mycanaean Period	(the period of Greek history from 1600 to 1100 BC) <p-l>សម័យមីគេណៃ</p-l>
Myra	[a coastal town in Asia Minor where the Apostle Paul changed ships on his way to Rome (Acts 27:5)] <p-l>ក្រុងមីរ៉ា។</p-l>
myrrh	(resin obtained from several burseraceous trees and shrubs that exude an aromatic resin) <p-l>ជ័រល្វីងទេស។</p-l>
myrtle	(an evergreen shrub) <p-l>រុក្ខជាតិយីថោ</p-l>
Mysia	(a region northwest of ancient Asia Minor, between Bithynia and Lydia) <p-l>តំបន់ មីសៀ។</p-l>
mystery	(an unexplained event, phenomenon, etc.) <p-l>អាថ៌កំបាំង (គ.បៈ: ការអាថ៌កំបាំង គ.ខ.បៈ : គំរោងដ៏លាក់កំបាំង)។</p-l>
mystery cults	<p-l>សូមមើល</p-l> mystery religions
mystery religions	(religious cults of the Greco-Roman world characterised by secrecy associated with the particulars of initiation and cult practice) <p-l>សាសនាអាថ៌ កំបាំង។</p-l>
mystic	(a person who claims mystical experience, being an experience of divine significance outside of normal human experience) <p-l>អ្នកស្វែងរកពិសោធន៍អធិធម្មជាតិ</p-l> mystical (adj) <p-l>នៃពិសោធន៍អធិធម្មជាតិ។</p-l>
mysticism	(the knowledge of, and especially the personal experience of, states of consciousness beyond normal human perception, including experience of, and communion with God) <p-l>អាថ៌កំបាំងនិយម។</p-l>
mysticism	(the belief that knowledge of God and of truth can be found through prayer and meditation rather than through the Bible) <p-l>ការនិយមស្វែងរកពិសោធន៍អធិ ធម្មជាតិ។</p-l>
myth	(supernatural stories of an earlier age) <p-l>រឿងព្រេង រឿងអាទិទេព និងវិរបុរសបុរាណកាល</p-l> "myth and ritual school" (name given to a series of authors who has focused their philological studies on the "ritual purposes of myths”) <p-l>ពួកសិក្សារឿងព្រេង និងប្រារព្ធពិធី។</p-l>
mythology	(the study or collecting of supernatural stories of an earlier age) <p-l>ទេវកថាវិទ្យា</p-l>
mythologize	(vb) <p-l>ធ្វើឲ្យក្លាយជាទេវកថា។</p-l>
N	(abbreviation "north", "northern") <p-l>ទិសខាងជើង</p-l>
Na.	(abbreviation "Book of Nahum") <p-l>ណា</p-l>.
Naamah	(daughter of Lamech) <p-l>នាងនាំអាម៉ា</p-l>
Naaman	<p-l>ណាម៉ាន់</p-l>
Naassenes	(a gnostic sect from around 100 AD) <p-l>ក្រុមណាសស៊ីន</p-l>
Nabal	<p-l>ណាបាល</p-l>
Nabataea, Kingdom of...	(political state of the Nabataeans, located between the Sinai Peninsula and the Arabian Peninsula, south of Judea, conquered by Rome in AD 106) <p-l>នគរណាបាទា។</p-l>
Nabonidus, King...	(the last king of the Neo-Babylonian Empire, reigning from 556-539 BC) <p-l>ស្តេចណាបូណាយឌីស។</p-l>
Nabopolasser	[King of Babylonia c. 625-605 BC who played a key role in the demise of the Assyrian Empire (658-605 BC)] <p-l>ស្តេចណាបូប៉ូឡាស្សារ។</p-l>
Naboth	<p-l>ណាបោត</p-l>
Nadab, King...	<p-l>ស្តេចណាដាប</p-l>
Nag Hammadi	(an Upper Egyptian town where early Christian gnostic texts were discovered) <p-l>ក្រុងណាក់ហាំម៉ាឌី។</p-l>
Nahor	(son of Serug, son of Reu; son of Jerah) <p-l>ណាឃរ</p-l>
Nahum, Book of...	<p-l>កណ្ឌណាហ៊ុម</p-l>
Nain, the town of...	<p-l>ក្រុងណាអ៊ីន</p-l>
naked	(adj) (having the body completly unclothed) <p-l>អាក្រាតេ (គ.ប : អាក្រាត ខ្លួនទទេ គ.ខ.ប : ខ្លួន ទទេ)។</p-l>
name	(word or term by which a person or thing is commonly and distinctively known) <p-l>ឈ្មោះ នាម</p-l> (div) <p-l>ព្រះនាម</p-l> naming (n) <p-l>ការដាក់ឈ្មោះ។</p-l>
names of God	[NBD] <p-l>«ព្រះនាមរបស់ព្រះជាម្ចាស់»</p-l>
Naomi	<p-l>នាងនាអូមី</p-l>
Naphtali	<p-l>ណែបថាលី</p-l> (tribe of...) <p-l>អំបូរណែបថាលី</p-l>
Naphtali, Testament of...	(a document with apocalyptic elements discovered at Qumran among the Dead Sea Scrolls) <p-l>«ឯកសារសញ្ញានៃណែបថាលី»។</p-l>
Naphtuhites	(a people descended from Mizraim, son of Ham) <p-l>ពួកណាបធូហ៊ីម</p-l>
narrative	(the part of a literary work that relates events) <p-l>និទានកថា</p-l> narrator <p-l>អ្នកនិទាន</p-l> narration <p-l>ការនិទាន។</p-l>
NASB	(abbreviation "New American Standard Version”) <p-l>ព្រះគម្ពីរភាសាអង់គ្លេស</p-l> New American Standard Version (1963)។
Nash Papyrus	(a collection of four early Hebrew papyrus manuscripts acquired in Egypt by W. L. Nash) <p-l>ប៉ាពីរើសណាស់។</p-l>
Nathan	<p-l>ហោរាណាថាន់</p-l>
nations, the...	(all the peoples of the world) <p-l>ប្រជាជាតិទាំងឡាយ (គ.បៈ : ពួកសាសន៍ដទៃ គ.ខ.បៈ ប្រជាជាតិនានា)។</p-l>
natural law	(any system of law which is purportedly determined by nature, and thus universal) <p-l>ក្រមច្បាប់ធម្មជាតិ។</p-l>
natural man	(the typical member of humanity who cannot understand the spiritual nature of the Gospel) <p-l>មនុស្សសាច់ឈាម (មនុស្សធម្មតា)។</p-l>
