ben	bdef
affirm	(vb) (to uphold or confirm a statement of truth) <p-l>បញ្ជាក់</p-l> affirmation <p-l>ការបញ្ជាក់</p-l>
afflict	(vb) (to cause suffering or unhappiness) <p-l>សង្កត់សង្កិន</p-l> affliction (suffering or unhappiness) <p-l>សេចក្តីទុក្ខលំបាក។</p-l>
aforethought	(adj) (premediated) <p-l>ដែលបានគិតទុកមកជាមុន</p-l>
a fortiori	(adv) [Latin abbreviation: argumentum a fortiori "(argument) from the stronger reason"] <p-l>ដោយកម្លាំងយ៉ាងខ្លាំងប្រកបដោយមូលហេតុដ៏ត្រឹមត្រូវ។</p-l>
afraid	(feeling of fear or apprehension) <p-l>ភ័យ</p-l>
afterlife	(life after death) <p-l>ជីវិតក្រោយពេលស្លាប់</p-l>
Agabus, the prophet...	(a Christian prophet in the apostolic age) <p-l>ហោរាអ័ក្តាបុស</p-l>
agape	(Greek "the love of God" or "love of Christ for humanity") <p-l>ភាសាក្រែក «អាហ្គាប៉េ»</p-l>
agape meal	(Greek: certain religious meals among early Christians that were originally closely related to the Lord's Supper) <p-l>អាហារអាហ្គាបេ។</p-l>
age	(a period of history marked by some feature or characteristic) <p-l>កល្ប</p-l>
Agee	(father of Shammah, who was one of David's mighty men, see 2 Sam. 23:11) <p-l>អំកេ</p-l>
agency	(...of God - divine action, power, operation) <p-l>រាជកម្ម</p-l>
Agent, the...	(the divine means of God's action, power and operation; an indirect reference to Jesus) <p-l>អង្គភ្នាក់ងារ។</p-l>
agnosticism	(a belief that knowledge of God cannot be known with certainty) <p-l>ភាពពុំដឹង ច្បាស់-ជាមានព្រះ ឬគ្មាន</p-l> agnostic <p-l>អ្នកដែលពុំដឹងច្បាស់ជាមានព្រះ ឬគ្មាន។</p-l>
Agrippa II, King...	(governor over the tetrarchy of Philip and Lysanias, and last prince of the Herods, before whom the Apostle Paul pleaded his cause) <p-l>ស្តេចអីគ្រីប៉ាទី២។</p-l>
Ahab, King...	(located in Chaldea, where the exiled Jesus assembled under Ezra) <p-l>ស្តេច អំហាប</p-l>
Ahasuerus, King...	(Ancient Greek name for King Xerxes of Persia) <p-l>ស្តេចអីហាស៊ូរុស</p-l>
Ahava, town of...	(located in Chaldea, where the exiled Jews assembled under Ezra) <p-l>ក្រុង អាហារ៉ា។</p-l>
Ahaz, King...	(12th king of Judah) <p-l>ស្តេចអីហាស</p-l>
Ahaziah, King...	(6th king of Judah) <p-l>ស្តេចអីហាស៊ីយ៉ា</p-l>
Ahikam	(an influential official in the court of Josiah - 2 K. 22) <p-l>អំហ៊ីកាម</p-l>
Ahimelech	(son of Ahitub and high priest of Nob - 1 Sam. 22:11-12) <p-l>អំហ៊ីម៉ាលេក</p-l>
Ahlab...	(town of Asher north - west of the Sea of Galilee - Jdg. 1:31) <p-l>ក្រុងអាស់ឡាប់</p-l>
Aholibamah	(a Canaanite wife of Esau, daughter of Beeri the Hittite and Anah the Hivite, see Gen. 36) <p-l>អំហូលីបាម៉ា។</p-l>
Ahzai	(a priest residing in Jerusalem - Neh. 11:13) <p-l>អំហាសាយ</p-l>
Ai	(a Canaanite royal city) <p-l>ក្រុងអៃ</p-l>
Aijalon/ Ajalon, town of...	(first assigned to Dan and later given to the Kohathites) <p-l>ក្រុង អាយ៉ាឡូន។</p-l>
Ajah	(a son of Zibeon the Hivite, see Gen. 36) <p-l>អៃយ៉ា</p-l>
Akeldama	(also known as "the Potter's field) <p-l>វាលអាកិលដាម៉ា</p-l>
Akhetan	(ancient capital of Egypt in 14th Century BC) <p-l>ក្រុងអាខេតាឆេន</p-l>
Akizzi	(local ruler of Quatna in the 14th Century BC and an author of the Amarna Letters) <p-l>អាឃីសហ្ស៊ី។</p-l>
Akkad	(city at the centre of the Akkadian Empire, that preceded the Assyrian and Babylonian empires) <p-l>ទីក្រុងអាកាឌ</p-l> Akkadians <p-l>ពួកអាកាឌ</p-l> Akkadian (...language) <p-l>ភាសា អាកាឌ។</p-l> Kingdom) <p-l>សំបុត្រអាម៉ាណា។</p-l>
Amarna Tablets	(<p-l>សូមមើល</p-l> Amarna Letters) <p-l>ផ្ទាំងថ្មអាម៉ាណា</p-l>
Amasis II/Ahmose II	(a pharaoh of the 26<sup>th</sup> Dynasty, who ruled 570-526 BC and was the last great ruler of Egypt before the Persian conquest) <p-l>ជាធានអាម៉ាស៊ីសទី២។</p-l>
Amaziah, King....	<p-l>ស្ដេចអំម៉ាស៊ីយ៉ា</p-l>
ambiguity	(possibility of interpreting in two or more distinct ways) <p-l>ភាពមានន័យមិនច្បាស់</p-l>
ambivalence	(simultaneous existence of two opposed and conflicting attitudes, emotions, etc.) <p-l>ភាពមានយោបល់ផ្ទុយគ្នា។</p-l>
