w	def
... ក៏ ... ដែរ	<ul><li>also, as well ខ្ញុំក៏ធ្វើការដែរ I am working also.
... ក៏... ក៏	<ul><li>both ... and ...
... ក៏ដោយ ... ក៏ដោយ	<ul><li>whether... or..., it's all the same សើចក៏ដោយយំក៏ដោយ Laugh if you like, cry if you like.
... ក៏បាន ... ក៏បាន	<ul><li>either... or...
... ក៏បានដែរ	<ul><li>... would be all right, can get along with ..., ... is OK បើគ្មានផ្កាស្លាទេ យើងយកផ្កាផ្សេងមកជំនួសក៏បានដែរ If they don't have areca flowers we'll be able to get along with a substitute.
កងទ័ពប្រជាជនរំដោះជាតិកម្ពុជា	[kɑɑŋ toap prɑcie cɔɔn rumdɑh ciet kampuʔcie] [[កងទ័ព]] [[ប្រជាជន]] [[រំដោះ]] [[ជាតិ]] [[កម្ពុជា]] 	<ul><li>Cambodian People's National Liberation Army (the KR forces before 1979)
កងទ័ពពិសេស	[kɑɑŋ toap piʔsaeh~piʔseeh] [[កងទ័ព]] [[ពិសេស]] 	<ul><li>special forces
កងទ័ពព្រៃ	[kɑɑŋ toap prey] [[កង]] [[ទ័ពព្រៃ]] 	<ul><li>guerrilla force
កងទ័ពមួយវាហិនី	[kɑɑŋ toap muə yɔɔ vieheʔnii] [[កងទ័ព]] [[មួយ]] [[វាហិនី]] 	<ul><li>one army group (In ancient times, it was composed of 81 elephants, 81 chariots, 243 cavalry, and 405 foot soldiers)
កងទ័ពស្រួច	[kɑɑŋ toap sruǝc] [[កង]] [[ទ័ពស្រួច]] 	<ul><li>elite force
កងទ័ពអចិន្ត្រៃយ៍	[kɑɑŋ ------ ] [[កង]] [[ទ័ពអចិន្ត្រៃយ៍]] 	<ul><li>standing army, regular army
កងទ័ពអន្តរាគមន៍	[kɑɑŋ toap ʔɑntaʔraakum] [[កងទ័ព]] [[អន្តរាគមន៍]] 	<ul><li>intervention force
កងទ័ពអាកាស	[kɑɑŋ toap ʔaakaah] [[កង]] [[ទ័ពអាកាស]] 	<ul><li>air force
កងទ័ពឥន្ទ្រីក្រហម	[kɑɑŋ toap ʔentrii krɑhɑɑm] [[កងទ័ព]] [[ឥន្ទ្រី]] [[ក្រហម]] 	<ul><li>helicopter branch of the air force of the Khmer Republic (1970 - 1975)
កងទ័ពឥស្សរៈ	[kɑɑŋ toap ʔəhsaʔraʔ~ʔihsaʔraʔ] [[កងទ័ព]] [[ឥស្សរៈ]] 	<ul><li>Issarak army (splinter group of the Viet Minh forces fighting the French in Cambodia before independence in 1954)
កងធំ	[kɑɑŋ tʰom] [[កង]] [[ធំ]] 	<ul><li>company (KR - contains between 120 and 170 people)
កងនគរបាលប្រជាជន	[kɑɑŋ nɔkɔɔ baal prɑcie cɔɔn] [[កង]] [[នគរបាល]] [[ប្រជាជន]] 	<ul><li>people's police (force)
កងនាវាចរណ៍	[kɑɑŋ nieviecɑɑ] [[កង]] [[នាវាចរណ៍]] 	<ul><li>fleet, navy
កងនាវិក	[kɑɑŋ nievɨk] [[កង]] [[នាវិក]] 	<ul><li>crew of a ship
កងបញ្ជាការ	[kɑɑŋ bɑɲcie kaa] [[កង]] [[បញ្ជាការ]] 	<ul><li>command
កងបញ្ជូនសារ	[kɑɑŋ bɑɲcuun saa~saaraʔ] [[កង]] [[បញ្ជូន]] [[សារ]] 	<ul><li>signal corps
កងបូរ័ណ	[kɑɑŋ ------] [[កង]] [[បូរ័ណ]] 	<ul><li>auxiliary (troops)
កងប៉ូលិសពិសេស	[kɑɑŋ poolih piʔsaeh~piʔseeh] [[កង]] [[ប៉ូលិស]] [[ពិសេស]] 	<ul><li>special police (brigade)
កងប្រយុទ្ធ	[kɑɑŋ prɑyut] [[កង]] [[ប្រយុទ្ធ]] 	<ul><li>combat unit
កងផលិត	[kɑɑŋ pʰɑlɨt~pʰɑllɨt] [[កង]] [[ផលិត]] 	<ul><li>production unit (KR factory workers' unit)
កងពល	[ធំ ថ្មើរជើង :: kɑɑŋ pʊəl tʰom tmaə cəəŋ ] [[ធំ]] [[ថ្មើរជើង]] [[::]] [[កងពល]] [[ធំ]] [[ថ្មើរជើង]] 	<ul><li>division, brigade
កងពលតូច	[kɑɑŋ pʊəl tooc~tuuc] [[កងពល]] [[តូច]] 	<ul><li>brigade
