ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ទ្វន្ទ,"[tvoan] <br>1a). n pair
ដើរហាលភ្លៀងទទឹកស្រកក់,"[daə haal pliəŋ tɔɔ tɨk srɑkɑk] [[ដើរ]] [[ហាលភ្លៀង]] [[ទទឹក]] [[ស្រកក់]] <br>1). to walk in the rain and get soaked."
ស្វោយរាជ្យ,"[svaoy riec] [[ស្វោយ]] [[រាជ្យ]] <br>1). to reign."
រាយមាយ,"[riey-miey] <br>1a). p absentminded
ជើងឆ្កោក,"[cəəŋ ckaok] <br>1). n forked base of a howdah."
សម្ផស្ស,"[sampʰahsaʔ ~ sampʰɑh] <br>1). n contact
ចេកស្នាប់មុខ,"[ceɛk snap muk] [[ចេក]] [[ស្នាប់មុខ]] <br>1). variety of banana."
ត្រៃត្រាណ,"[tray traan] <br>1). n the three refuges (Buddha
អស្រី,"[ʔɑɑ srǝy] [[អ]] [[ស្រី]] <br>1). See: អសិរី."
អត្តបរិហារ,"[ʔattaʔbɑɑriʔhaa] <br>1). n the care of oneself. See: អត្តព្យាបាល Pali atta-;<br> parihāra 'attention
ហើមស្រក,"[haǝm srɑɑk] [[ហើម]] [[ស្រក]] <br>1). name of a disease characterized by frequent momentary swelling."
មេស្រុក,"[mee srok] [[មេ]] [[ស្រុក]] <br>1). See: មេឃុំ<br>#..). chief of a srok (district)."
យឹតយឺត,"[yɨt yɨɨt] [[យឹត]] [[យឺត]] <br>1). telescope
មនុស្សវិកល,"[mɔnuh~meaʔnuh~mɔnɨh viʔkaʔlaʔ~viʔkɑl] [[មនុស្ស]] [[វិកល]] <br>1). crippled person."
ស្រពេចស្រពិល,"[srɑpɨc-srɑpɨl] <br>1a). p vague
អស់ចិត្ត,"[ʔɑh cət] [[អស់]] [[ចិត្ត]] <br>1). to have had enough of...
ចតុព្វិធពរ,"[caʔtoppiʔtʰeaʔpɔɔ] <br>1). n the four Buddhist wishes. Sanskrit caturvidha 'fourfold;' vara 'wish.'"
ពុះទ្វារ,"[puh tvie] [[ពុះ]] [[ទ្វារ]] <br>1). to break (down) a door."
អម្ពផល,"[ʔɑmpɔɔ pʰɑl] [[អម្ព]] [[ផល]] <br>1). mango fruit."
សវនាការអសាធារណៈ,"[saʔvaʔnaa kaa ʔaʔsaatʰiereaʔnaʔ] [[សវនាការ]] [[អសាធារណៈ]] <br>1). closed hearing."
សងប្រាក់ជំពាក់,"[sɑɑŋ prak cumpeak] [[សង]] [[ប្រាក់]] [[ជំពាក់]] <br>1). to repay a loan or debt."
និយាយរង្វើលៗ,"<br>1). to speak slowly and deliberately (word by word)."
កំលា,"[kɑmlaa] <br>1a). p to bluff
មហាអគ្គិភ័យ,"[meaʔhaaʔakkiipʰəy] <br>1). n conflagration. Pali mahāggībhaya"
បេតលោក,"[------ look~lookaʔ] [[បេត]] [[លោក]] <br>1). world of the devils. See: ប្រេតលោក"
តាមខ្នាត,"[taam knaat] [[តាម]] [[ខ្នាត]] <br>1). according to the measurement(s)."
របោះ,"[rɔbɑh] <br>1a). p thin
ម្យីម្យា,"<br>1). See: មយីមយា."
របស់យើង,"[rɔbɑh yəəŋ] [[របស់]] [[យើង]] <br>1). our
ឧណ្ហប្បទេស,"[ʔunhaʔ ------ ] [[ឧណ្ហ]] [[ប្បទេស]] <br>1). tropical country."
ស្មានខុស,"[smaan kʰoh] [[ស្មាន]] [[ខុស]] <br>1). to guess incorrectly."
សជាត,"[saʔciet] <br>1). p congeneric
ខណ្ឌគង្គានិងរុក្ខា,"[kʰan kʊəŋkie nɨŋ rukkʰaa] [[ខណ្ឌ]] [[គង្គា]] [[និង]] [[រុក្ខា]] <br>1). sector of woods and forests."
យៅវយោគ,"[yɨv vɔɔ yook] [[យៅ]] [[វ]] [[យោគ]] <br>1). maximum adolescent age."
សមាស័ទ,"[saʔmaasat] <br>1). n sitting together (side by side);<br> moving close to;<br> entering some place to look for something or someone. Sanskrit samāsada 'to sit.'"
ភ្លាំង,"[pleaŋ] <br>1). See: ភ្លាំងស្មារតី
កូន​ឈ្នួល​,"<br>1). hired hand."
ជ្រួយដី,"[cruəy dəy] [[ជ្រួយ]] [[ដី]] <br>1). to stir up the soil."
អាយុយឺន,"[ʔaayuʔ yɨɨn] [[យូរ]] [[::]] [[អាយុ]] [[យឺន]] [[យូរ]] <br>1). long life."
សុវណ្ណម័យ,"[soʔvan ------] [[សុវណ្ណ]] [[Aម័យ]] <br>1). made of gold. See: សោវណ្ណ
ធ្នារ,"[tnie] <br>1). n public road
លានបោកស្រូវ,"[lien baok srǝv] [[លាន]] [[បោកស្រូវ]] <br>1). rice threshing yard."
បុនានុវាទី,"[poʔnaanuʔvietii] <br>1). n assistant master (of a school). Pali puna;<br> anuvāda 'blaming
អស្វទូត,"[ʔahsvaʔ tuut] [[អស្វ]] [[ទូត]] <br>1). horse messenger
ឫក្ស,"[rɨk] <br>1). n name of a certain constellation also called ផ្កាយក្រពើ and ផ្កាយនព្វគ្រោះ. <br>2). n happy
សាកប៉ត្រាក,"<br>1). See: សាកត្រាក."
ខឹងរាល,"[kʰəŋ riel] [[ខឹង]] [[រាល]] <br>1). to intensify (of anger)."
គគីរបាយស្រា,"[kɔkii baay sraa] [[គគីរ]] [[បាយ]] [[ស្រា]] <br>1). variety of គគីរ. Tandart"
ទល់នឹង,"[tʊəl nɨŋ] [[ទល់]] [[នឹង]] <br>1). bounded by
នាំពា,"[noampie] <br>1). p to be serious
ដើមផ្លូវ,"[daəm pləv] [[ដើម]] [[ផ្លូវ]] <br>1). beginning of a road."
អភិមង្គល,"[ʔaʔpʰiʔmʊəŋkʊəl] <br>1). n great happiness
រឡិងរឡង់,"<br>1). See: ឡិងឡង់ៗ."
ឆ្ពិត,"[cpɨt] <br>1). n a pinch of something."
អង្គ្រ័ក្ស,"[ʔɑŋkreak] <br>1). n royal guard. Sanskrit
ហៅហាន,"[hav-haan] <br>1). p audacious
ស្រូវទើបកន្ទុយមាន់,"[srǝv təəp kɑntuy moan] [[ស្រូវ]] [[ទើប]] [[កន្ទុយ]] [[មាន់]] <br>1). rice at the stage where it resembles a chicken's tail. Tandart"
កន្ទុយថ្លែន,"[kɑntuy tlaen] [[កន្ទុយ]] [[ថ្លែន]] <br>1). pterygium"
ទប់ចិត្ត,"[tup cət] [[ទប់]] [[ចិត្ត]] <br>1). to contain oneself<br>#..). to control oneself."
មូលដ្ឋាន,"[muulattʰaan] <br>1). n base;<br> basis
រត់ចូលរសុក,"[rʊət cool rɔsok] [[រត់]] [[ចូល]] [[រសុក]] <br>1). to swarm in."
ប្រតិលោម,"[prɑteʔlaom ~ prɑteʔloom] <br>1). p reversible;<br> reversed;<br> upset. See: បដិលោម"
ឆ្ពិន,"[cpɨn] <br>1). n name of a fish found in streams. See: ថ្ពិន
ពួកមាស,"[puək mieh] [[ពួក]] [[មាស]] <br>1). to gild
ការស្រួលធ្វើ,"[kaa sruǝl tvəə] [[ការ]] [[ស្រួល]] [[ធ្វើ]] <br>1). easy work."
កំប្រុកក្រហម,"[kɑmprok krɑhɑɑm] [[កំប្រុក]] [[ក្រហម]] <br>1). the common red squirrel."
ខុសរដូវ,"[kʰoh rɔdəv] [[ខុស]] [[រដូវ]] <br>1). wrong time;<br> bad time;<br> out of season. See: ខុសពេល"
នីតិប្រតិបត្តិ,"[niiteʔprɑteʔbat] <br>1). n executive body;<br> execution of the law."
កុសលធម៌,"[koʔsaltʰoa] <br>1). n righteousness."
ពូយ៉ាន់,"[puu ------] [[ពូ]] [[Nយ៉ាន់]] <br>1). uncle Yann."
វិនិច្ឆយដ្ឋាន,"[viʔnɨccʰay~viʔnɨccʰaʔyaʔ ------] [[វិនិច្ឆយ]] [[ដ្ឋាន]] <br>1). courthouse. See: វិនិច្ឆយសភា
វង្សករ,"[vɔǝŋ~vaŋsaʔ kɑɑ] [[វង្ស]] [[ករ]] <br>1). ancestor. See: វង្សក្រឹត"
ឃាសកូល,"[kʰiesaʔkool] <br>1). n graminaceous plants. Sanskrit
ទមភាព,"[teaʔmeaʔpʰiep] <br>1). n counselling
ភ្លុក,"[pluk] <br>1). n ivory;<br> tusk. <br>2). n person responsible for maintaining the fire at a cremation ceremony."
ចាំងពិល,"[caŋ pil~pɨl] [[ចាំង]] [[ពិល]] <br>1). dazzled
សមិត,"[saʔmet] <br>1). n war
បទបញ្ញត្តិ,"[bɑt baɲɲat] <br>1). n disposition
បោសសំរាម,"[baoh sɑmraam] [[បោស]] [[សំរាម]] <br>1). to clean up garbage or dirt."
សុរិយកាល,"[soʔreʔyaʔ kaal] [[សុរិយ]] [[កាល]] <br>1). noon time."
លុះក្នុងកណ្ដាប់ដៃសត្រូវ,"[luh knoŋ kɑndap day sattrəv] [[លុះ]] [[ក្នុង]] [[កណ្ដាប់ដៃ]] [[សត្រូវ]] <br>1). to be under the control of the enemy."
រោគាព្យាធិ,"[rookie pyietʰiʔ] [[រោគា]] [[ព្យាធិ]] <br>1). various diseases
បំពង់កក្រៅ,"[bɑmpʊəŋ kɑɑ krav] [[បំពង់ក]] [[ក្រៅ]] <br>1). throat."
បណីត,"<br>1). See: ប្រណីត."
បន្ថុច,"[bɑntʰoc] <br>1). p to stop or interrupt someone by saying ថុច! to stupefy someone by shouting. See: ថុច."
កំលៅ,"[kɑmlav] <br>1). n ignorant person
សំកោកសំកាំង,"[sɑmkaok sɑmkaŋ] [[សំកោក]] [[សំកាំង]] <br>1). magic formula for seltanesthetization and momentary immobilization of the opponent."
ភ្លុង,"[pluŋ] <br>1). i sound of a heavy object falling in water
ដួលផ្ងារ,"[duəl pŋaa] [[ពោះ]] [[::]] [[ដួល]] [[ផ្ងារ]] [[ពោះ]] <br>1). to fall over on one's back."
ទីងៗ,"[tiiŋ-tiiŋ] <br>1). i sound of a kind of large drum."
កំចោក​រោក​,"<br>1). កំចោក​"
ខនិជ,"[kʰaʔnɨc] <br>1). n mineral. poss. rel. to S. khani 'mine
ទេវបញ្ជា,"[teeveaʔbaɲcie] <br>1). n order given by a divinity."
ជាប់បំណុលគេ,"[coap bɑmnol kee] [[ជាប់]] [[បំណុល]] [[គេ]] <br>1). to be in debt."
ផ្ទាន់,"[ptoan] <br>1). p to catch someone's mistakes."
សិង្ហៈ,"[sǝŋhaʔ] <br>1). n zodiacal sign of Leo (the lion). See: សីហ
សួយរៃ,"[suǝy rey] [[សួយ]] [[រៃ]] <br>1). tax collected for a high official"
សុភលក្ខណ៍,"[soʔpʰeaʔ ------] [[សុភ]] [[លក្ខណ៍]] <br>1). good quality."
សង្ខេបន័យ,"[sɑŋkʰaep ney] [[សង្ខេប]] [[ន័យ]] <br>1). short meaning
ម្យីម្យ៉,"[myii-myɑɑ] មយីមយា មយី and មាយី."
អករណីយ,"[ʔaʔkaʔraʔnǝy] <br>1). p not to be done. See: ករណីយ Sanskrit
ហោប៉ៅ,"[hao pav] <br>1). n pocket (of a coat
វាលុកា,"<br>1). See: ពាលុកា."
មហាឧបរាជ,"[meaʔhaaʔaopaʔraac] <br>1). n title of a prince second only to the king."
បិទភ្នែក,"[bet~bət ------] [[បិទ]] [[ភ្នែក]] <br>1). to close one's eyes.<br>#..). to close the eye(s)."
មនុស្សកកកុញ,"[mɔnuh~meaʔnuh~mɔnɨh kɑɑ kɑɑ koɲ] [[មនុស្ស]] [[កកកុញ]] <br>1). large crowd of people. See: មនុស្សកុះករ"
ជំពាក់គុណ,"[cumpeak kun] [[ជំពាក់]] [[គុណ]] <br>1). to owe a favor."
បង្គងឃ្មុំ,"[bɑŋkɔɔŋ kmum] [[បង្គង]] [[ឃ្មុំ]] <br>1). beehive."
មនុស្សហនេយ្យំ,"[meaʔnuhhaʔneyyuŋ] <br>1). n criminal. Pali manussa ?"
ទឹកកួច​,"<br>1). whirlpool."
វាលស្មៅ,"[viel smav] [[វាល]] [[ស្មៅ]] <br>1). pasture."
រៃអង្ករយកពីម្នាក់ៗមួយគោម,"<br>1). to assess each person one bowl of rice."
បូរណសំខ្យា,"[pooraʔnaʔsaŋkyaa] <br>1). n ordinal numeral. Sanskrit
អួតគឃរ,"[ʔuət kɔkʰɔɔ] [[អួត]] [[គឃរ]] <br>1). to brag
ស្ទើរកោះ,"[stǝǝ kɑh] <br>1). n peninsula."
ក្សេត្រារក្ស,"[kseɛttraareaʔ] <br>1). n farm guard."
បន្ចោះញឹកសិញ,"[------ ɲɨk sǝɲ] [[បន្ចោះ]] [[ញឹក]] [[សិញ]] <br>1). very closely spaced lattice work."
លាដៃ,"[lie day] [[លា]] [[ដៃ]] <br>1). to open the hand."
សច្ចបាន,"[sac~saccaʔ baa nɔɔ] [[សច្ច]] [[បាន]] <br>1). taking or making an oath by means of water."
មាន ឥរិយាសមរម្យ,"<br>1). to have good behavior;<br> to have good conduct."
ព្រឹល ៗ,"<br>1). See: ព្រិលៗ."
ខ្នៀរ​,"[kniə] <br>1). n kind of rake used to level the ground."
ក្អាកក្អាយ,"[kʔaak kʔaay] <br>1a). p happy
ត្រដាង,"[trɑdaaŋ] <br>1). p to stretch
ព្រាត់,"[proat] <br>1). p to be separated from loved ones
ត្រដាច,"[trɑdaac] <br>1). p vast
រកប្រសាច,"[rɔɔk prɑsaac] [[រក]] [[ប្រសាច]] <br>1). to spread out and look for something."
ភាពរវើរវាយ,"[pʰiep rɔvəə-rɔviey] [[ភាព]] [[រវើរវាយ]] <br>1). delirium."
រំលោក,"[rumlook] <br>1). n wet ground. See: រម្លោក"
វេទកោសល,"[veeteaʔ~veet kaoh lɔɔ] [[វេទ]] [[កោស]] [[ល]] <br>1). expertise in the Vedas."
ចួនណា,"[cuən naa] [[ចួន]] [[ណា]] <br>1). once upon a time
អផ្សុកអប្បសាន្ត,"[ʔapsok~ʔɑpsok ʔappaʔ saan] [[អផ្សុក]] [[អប្បសាន្ត]] <br>1). See: អប្បសាន្ត.<br>#..). extreme loneliness."
ទីនាំង,"[tii neaŋ] [[ទី]] [[នាំង]] <br>1). place or chair where royal persons sit."
ចំអែតពោះ,"[cɑmʔaet pʊəh] [[ចំអែត]] [[ពោះ]] <br>1). to fill one's stomach."
ដែកអង្រូស,"[daek ʔɑŋruuh] [[ដែក]] [[អង្រូស]] <br>1). អង្រូស"
រលកយោល,"[rɔlɔɔk yool] [[រលក]] [[យោល]] <br>1). large wave."
ចម្ងាយ,"[cɑmŋaay] <br>1). n distance. See: ឆ្ងាយ. See: ចំងាយ"
អរជូន,"<br>1). See: អរជុន 3. 	"
រំលោង,"[rumlooŋ] <br>1). n basin
និលពីសី,"[nɨl piisəy] <br>1). n a medicinal plant. (Crinum asiaticum) See: នីលពីសី"
ធម្មលង្ការ៍,"[tʰoammeaʔleaŋkaa] <br>1). n name of a rank of mandarin having authority over monks. Tandart"
អាវស្វា,"[ʔaav svaa] [[អាវ]] [[ស្វា]] <br>1). kind of loose-fitting woman's jacket. Tandart
កាយវិកលកម្ម,"[kaay viʔkaʔlaʔ~viʔkɑl kam~kammeaʔ or kammaʔ] [[កាយវិកល]] [[កម្ម]] <br>1). mutilation."
ស្រែកយ៉ៃៗ,"<br>1). to cry loudly
គប់,"[kup] <br>1). p to throw (something at someone). <br>2). p to join together
គាក់,"[keak] <br>1). p to be interrupted
រជ្ជទាយាទ,"[racceaʔtieyiet] <br>1). n crown prince or princess;<br> heir to a throne or a royal heritage. Pali rajja;<br> dāyāda 'heir.'"
រនាំងបាំងខ្យល់,"[rɔneaŋ baŋ kyɑl~kcɑl] [[រនាំង]] [[បាំងខ្យល់]] <br>1). outside shutter (of window)."
ឆ្វាយខ្សែ,"[cvaay ksae] [[ឆ្វាយ]] [[ខ្សែ]] <br>1). to roll up (string
មហេស្វរៈ,"<br>1). See: មហិស្សរៈ."
វាណិជ្ជកម្ម,"<br>1). See: ពាណិជ្ជកម្ម."
ប្រឡៃសក,"[prɑlay sɑɑk] <br>1). n long
ពាក្យទំនើប,"[piek tumnəəp] [[ពាក្យ]] [[ទំនើប]] <br>1). new words
ពេញដោយ,"[pɨɲ daoy] [[ពេញ]] [[ដោយ]] <br>1). full of. See: ពេញទៅដោយ"
យកកូនទៅទុកឲ្យនៅក្តី,"[yɔɔ kɑɑ koon tɨv~toh ------ ʔaoy nɨv kdəy] [[យកកូន]] [[ទៅ]] [[ទុកឲ្យ]] [[នៅ]] [[ក្តី]] <br>1). to put a child in the care of a Buddhist monastery."
ឥន្ទកោសី,"[ʔen ------] [[ឥន្ទ]] [[កោសី]] <br>1). Indra."
វិធានការហិរញ្ញវត្ថុ,"[viʔtʰien kaa heʔraɲ voattʰoʔ] [[វិធានការ]] [[ហិរញ្ញវត្ថុ]] <br>1). financial measure."
វង្វេងជាតិ,"[vʊəŋveeŋ ciet] [[វង្វេង]] [[ជាតិ]] <br>1). confused about one's own identity."
មកពីណា?,"[mɔɔk pii naa ------] [[មក]] [[ពី]] [[ណា]] [[?]] <br>1). Where are you from?"
រាជយុទ្ធ,"[riec yut~yuttʰeaʔ] [[រាជ]] [[យុទ្ធ]] <br>1). fight between kings."
ត្រដេវ,"[trɑdeɛv] <br>1). n kind of large swallow (Meropa viridis) which lives in holes in the ground."
ជ្រើសរើស,"[crəəh rəəh] [[ជ្រើស]] [[រើស]] <br>1). to choose carefully<br>#..). to select
អំពើពុករលួយ,"[ʔɑmpǝǝ puk rɔluəy] [[អំពើ]] [[ពុករលួយ]] <br>1). corruption
ស្ងាត់,"[sŋat] <br>1). p silent
ដួលតោតម៉ោង,"[duəl taot maoŋ] [[ដួល]] [[តោតម៉ោង]] <br>1). to fall flat on the back with the legs and arms in the air."
បឋវីធាតុ,"[paʔtʰaʔviitʰiet] <br>1). n soil
ជើងស្រុក,"[cəəŋ srok] <br>1). n rice field adjacent to a village."
រំពាត់ខ្សែតី,"[rumpoat ksae ------ ] [[រំពាត់]] [[ខ្សែតី]] <br>1). whip."
ខណ្ឌករណ៍,"[kʰandeaʔkɑɑ] <br>1). n segmentation."
ឈរជំទាំងផ្លូវ,"[cʰɔɔ ------ pləv] [[ឈរជំទាំង]] [[ផ្លូវ]] <br>1). to block the way in the above manner."
ស្ដេចផ្ទំ,"[sdac ptum] <br>1). n kind of Khmer music played when the king retires to rest."
សម្ទាញ,"<br>1). See: សំទាញ."
ពស់ក្រចាន់តាមម,"[pʊəh ------] [[ពស់]] [[ក្រចាន់តាមម]] <br>1). kind of snake."
ដើមបង្គី,"[daəm bɑŋkii] [[ដើម]] [[បង្គី]] <br>1). kind of plant with medicinal tubers. Tandart"
