ថបនីយវត្ថុ,"<br>1). See: ឋបនីយវត្ថុ."
ខេមរភាសា,"[--i1-- ] [[ខេមរភាសា]] <br>1). Khmer language."
និរតី,"[niʔreaʔdəy] <br>1). p southwest (direction). See: និរ្តី Sanskrit nir-ṛti"
ក្បក,"[kbɑɑk] <br>1). n a kind of fish."
ហោមភណ្ឌ,"[haom pʰoandeaʔ~pʰoan] [[ហោម]] [[ភណ្ឌ]] <br>1). equipment used in a sacrificial ceremony."
ថ្មើរ,"[tmaə] <br>1). n time
បេយ្យាលន័យ,"[payyaalaʔney] <br>1). n that which is understood
ស្រឹង្គារភាសិត,"[srǝŋkie pʰiesət] [[ស្រឹង្គារ]] [[ភាសិត]] <br>1). attractive words;<br> persuasive story."
វិញ្ញាបនប័ត្របឋមសិក្សា,"[vɨɲɲiebannaʔbat paʔtʰaʔmaʔ~paʔtʰam sǝksaa] [[វិញ្ញាបនប័ត្រ]] [[បឋមសិក្សា]] <br>1). grammar school diploma."
វឌ្ឍនភាព,"[voattʰeaʔneaʔ pʰiep] [[វឌ្ឍន]] [[ភាព]] <br>1). progressing
លំអៀងចិត្ត,"[lumʔiǝŋ cət] [[លំអៀង]] [[ចិត្ត]] <br>1). to cause someone to be inclined toward one side or another
បសាទចិត្ត,"[paʔsaateaʔcət] <br>1). n sympathy
សម្ពន្ធ,"[sɑmpʊən] <br>1). n tie
គំរក់,"[kumrʊək] <br>1). p bad
វិញ្ញាតកម្ម,"[vɨɲɲietaʔkam] <br>1). n knowing the fact(s) or the truth;<br> operation based on facts. Pali viññatakamma"
ស្ងើចប្រាជ្ញាគេ,"[sŋaǝc praacɲaa kee] [[ស្ងើច]] [[ប្រាជ្ញា]] [[គេ]] <br>1). to admire someone's intelligence."
វនមូលផលាផល,"[veaʔneaʔ~voan muul pʰaʔlaapʰɑl] [[វន]] [[មូលផលាផល]] <br>1). all root crops and fruits in the forest."
យើង,"[yəəŋ] <br>1). np we
រំជាឲ្យគ្នា,"[rumcie ʔaoy knie] [[រំជា]] [[ឲ្យ]] [[គ្នា]] <br>1). to tease someone."
រុំបុគ្គល,"[rum bokkʊəl] [[រុំ]] [[បុគ្គល]] <br>1). to mummify a dead body. (see: ហោសព to mummify the body of a dignitary)."
តំណោង,"[tɑmnaoŋ] <br>1). n hanging on to;<br> any object that one can hang on to. See: តោង. មែកឈើជាតំណោងរបស់ពានរ។ A tree branch is the bar on which monkeys hang."
ចិត្តរសេមរសាម,"[cət rɔseɛm-rɔsaam] [[ចិត្ត]] [[រសេមរសាម]] <br>1). reluctance and uncertainty in one's decision(s)."
ម្រះភ្លុក,"[mreah pluk] [[ម្រះ]] [[ភ្លុក]] <br>1). kind of bitter melon."
អគ្យាគារ,"[ʔakyiekie] <br>1). n kitchen (where water is boiled). Sanskrit agny-āgāra 'place where the sacred fire is kept.'"
រម្ងាច,"<br>1). See: រំងាច."
