#desc	Goːgle Khmer Lexicon via: <a href="https://huggingface.co/datasets/seanghay/goːgle-khmer-lexicon">seanghay</a> translated to G2K's phonetics.
#priority	2
band	ɓɛːn
bandaoy	ɓɑn.ɗaoj
banderas	ɓɛːn.ɗəː.rah
bandit	ɓɑn.ɗɨt
bandoh	ɓɑn.ɗoh
bang	ɓaŋ
bang'aek	ɓɑŋ.ʔaek
bang'aong	ɓɑŋ.ʔaoŋ
bangkaeun	ɓɑŋ.kaən
bangkaeuy	ɓɑŋ.kaəj
bangkan	ɓɑŋ.kɑːn
bangkang	ɓɑŋ.kɑːŋ
bangkaong	ɓɑŋ.kaoŋ
bangkeab	ɓɑŋ.kiep
bangkong	ɓɑŋ.kɔːŋ
bangkoul	ɓɑŋ.koːl
bangkov	ɓɑŋ.kɨw
bangruh	ɓɑŋ.ruh
bangvaer	ɓɑŋ.wae
banh	ɓaɲ
baniev	ɓaː.niəw
bank	ɓɛːŋ
bankmandiri	ɓɛːŋ.mɛːn.ɗiː.riː
banks	ɓɛːŋ
banla	ɓɑn.laː
banlae	ɓɑn.lae
banlech	ɓɑn.ləc
banlich	ɓɑn.lɨc
banoy	ɓaː.nɑːj
bansay	ɓɑn.saːj
bantea	ɓɑm.tie
banteay	ɓɑn.tiej
bantoab	ɓɑn.toap
bantoam	ɓɑn.toam
bantoat	ɓɑn.toat
baoh	ɓɑh
baong	ɓaoŋ
baor	ɓao
baos	ɓaoh
baoy	ɓaoj
bapol	ɓɑː.pul
bar	ɓɑː
barack	ɓaː.rak
baraeng	ɓaː.raeŋ
barang	ɓaː.raŋ
baray	ɓaː.raːj
barcelona	ɓaː.seː.loː.naː
barclaycard	ɓaː.kleː.khaːt
barclays	ɓaː.kleː
bard	ɓaːt
bargains	ɓaː.gɛːn
baribour	ɓɑː.reʔ.ɓoː
barivat	ɓɑː.reʔ.wat
bariveas	ɓɑː.reʔ.wah
barku	ɓaː.kuː
barnes	ɓaːn
barong	ɓaː.roŋ
barra	ɓaː.raː
barrel	ɓaː.rɛːl
barrymore	ɓaː.riː.moa
bas	ɓah
basaet	ɓɑː.saet
basak	ɓaː.sak
basedth	ɓɑː.saet
bat	ɓat
batdambang	ɓat.ɗɑm.ɓɑːŋ
bath	ɓaːh
batheay	ɓaː.thiej
bati	ɓaː.tiː
battachi	ɓat.taː.ciː
battambang	ɓat.ɗɑm.ɓɑːŋ
bauhaus	ɓaw.haw
bavel	ɓɑː.wəl
bavet	ɓaː.wət
baxter	ɓɛːk.thəː
bay	ɓaːj
bayab	ɓaː.jaːp
bayern	ɓeː.jəːn
bbc	
bbva	
bd	
bdei	ɓɗəj
bdiek	pɗiək
be	ɓeʔ
beacon	ɓɛː.khon
beauty	ɓiː.juː.thiː
beckinsale	ɓɛːk.ʔiːn.seːl
becton	ɓeːk.ton
bed	ɓɛːt
beːp	ɓiːp
beːr	ɓiə
beːthoven	ɓeː.thoː.wɨn
bei	ɓəj
beichoan	ɓəj.coan
bek	ɓaek
bektleay	ɓaek.tliej
bel	ɓəl
belden	ɓɛːl.ɗən
belk	ɓɛːl
bell	ɓɛːl
beloit	ɓɛː.lɔːj
bemis	ɓeː.miːh
ben	ɓən
benchmark	ɓɛːn.cmaːk
bendei	ɓən.ɗəj
beng	ɓeːŋ
benjamin	ɓɛːn.jaː.miːn
bentley	ɓɛːn.tliː
berkley	ɓəː.kliː
berkshire	ɓəːk.siə
berlin	ɓəː.liːn
bernard	ɓəː.naːt
berry	ɓəː.riː
best	ɓɛːh
bet	ɓət
beverage	ɓiː.wəː.reːc
beyond	ɓiː.jɑːɲ
bezos	ɓeː.zoːh
bg	
bharti	ɓaː.thiː
bi	
bible	ɓaːj.ɓɑːl
bid	ɓiːt
bidvertiser	ɓit.wəː.thaːj.zəː
bie	ɓiə
big	ɓiːk
biggs	
bike	ɓaj
bill	ɓiːl
bin	ɓiːn
bing	ɓiːŋ
bingo	ɓiːŋ.goː
bio	ɓaːj.ʔoː
biogen	ɓaːj.ʔoː.cɛːn
biomet	ɓaːj.ʔoː.mɛːt
biphim	ɓaːj.phiːm
bismarck	ɓiːs.mak
bit	ɓiːt
biz	ɓiːh
bj	
black	ɓlɛːk
blackfriday	ɓlɛːk.fraːj.ɗeː
blackrock	ɓlɛːk.rɑk
blackstone	ɓlɛːk.stoːn
blankfein	ɓlɛːŋ.feːn
blatter	ɓlɛːt.thəː
blavatnik	ɓlaː.wat.niːk
blizzard	ɓlih.zaːt
block	ɓlɑk
blog	ɓlok
blogger	ɓlɑk.gəː
blogmarketingsea	ɓlɑk.maː.khiː.thiːŋ.siː
blogspot	ɓlɑk.spɑt
bloːm	ɓluːm
bloːmberg	ɓluːm.ɓəːk
bloːmin	ɓluː.miːn
blue	ɓluː
bmw	
bni	
board	ɓɑːt
boats	ɓoːt
bocorantogel	ɓoː.koː.rɛːn.thoː.gɑːl
body	ɓɑː.ɗiː
boeing	ɓoː.ʔiːŋ
boeng	ɓəŋ
boeung	ɓəŋ
boh	ɓɑh
boise	ɓɔːj
bok	ɓok
bol	ɓol
bola	ɓoː.laː
bon	ɓon
bonaparte	ɓoː.naː.paːt
bond	ɓon
bongacams	ɓon.gaː.khɛːm
bongdaplus	ɓɑŋ.ɗaː.plah
bongkol	ɓɑŋ.koːl
bongthom	ɓɑːŋ.thum
bonna	ɓon.naː
boː	ɓoː
boːk	ɓuk
boːking	ɓuk.khiːŋ
boːlean	ɓoː.liːn
boːmjo	ɓuːm.coː
boːts	ɓuːt
boːz	ɓuːh
