#desc	2022 version of the <a href="https://play.google.com/store/apps/details?id=com.optimiskh.chuonnathdictionary&hl=en-US">Chuon Nath Digital Dictionary</a>
#priority	1
#word	khph	def
កងគ្រាប់	[កង-គ្រាប់]	<ul><li><strong>ន.</strong> ផ្នែកមេកានិកសម្រាប់ទ្រទ្រង់ផ្នែកមួយទៀតដែលមានចលនារង្វិលជុំវិញអ័ក្ស ដើម្បីជួយសម្រួលចលនានិងកាត់បន្ថយការកកិត។</li></ul>
កងចល័ត	[កង-ចៈ-ឡាត់]	<ul><li><strong>ន.</strong> ក្រុមយុវជននៅក្នុងសម័យខ្មែរក្រហមដែលអាចចល័តពីកន្លែងមួយទៅកន្លែងមួយសម្រាប់ការងារបង្កបង្កើនផល។</li></ul>
កងចៅ	[កង-ចៅ]	<ul><li><strong>ន.</strong> ពួកស្ត្រីខ្ញុំរាជការក្នុងព្រះបរមរាជវាំង ធ្វើការពួកបាវ (ស្ត្រីទាំងនេះ កាលពីបុរាណ គេជ្រើសរើសយកតែកូនចៅពលឬរបឹប)។</li></ul>
កងឈ្លប	[កង-ឈ្លប]	<ul><li><strong>ន.</strong> ក្រុមស៊ើបការណ៍នៅក្នុងសម័យខ្មែរក្រហម។</li></ul>
កងទងឈូក	[កង-ទង-ឈូក]	<ul><li><strong>ន.</strong> គ្រឿងអលង្ការមួយប្រភេទធ្វើពីលោហៈដែលផ្នែកខាងចុងទាំងពីរខាងទល់មុខគ្នារចនាដូចផ្កាឈូកក្រពុំសម្រាប់ពាក់នៅកជើងនៃអ្នករបាំបុរាណខ្មែរ ហើយក៏មានពាក់នៅកដៃផងដែរ<em> :កងទងឈូកក៏មានពាក់លម្អកជើងកូនក្រមុំក្នុងពិធីមង្គលការដែរ។</em></li></ul>
កងទ័ព	[កង-ទាប់]	<ul><li><strong>ន.</strong> ក្រុមមនុស្សត្រៀមច្បាំងនឹងសត្រូវ, សេនារេហ៍ពលដែលមានកាតព្វកិច្ចការពារជាតិ មាតុភូមិ រកសន្តិសុខជូនប្រជាជននិងស្រុកទេស។</li></ul>
កងទ័ពជើងគោក	[កង-ទាប់-ជើង-គោក]	<ul><li><strong>ន.</strong> អង្គភាពកងទ័ពដែលមានកាតព្វកិច្ចធ្វើប្រតិបត្តិការនៅលើដែនគោក<em> :កងទ័ពជើងគោកនៃកងយោធពលខេមរភូមិន្ទបានបញ្ចប់ការហ្វឹកហ្វឺនជំនាញបោសសម្អាតមីន។</em></li></ul>
កងទ័ពជើងទឹក	[កង-ទាប់-ជើង-ទឹក]	<ul><li><strong>ន.</strong> អង្គភាពកងទ័ពដែលមានកាតព្វកិច្ចធ្វើប្រតិបត្តិការនៅលើដែនទឹក ដែនសមុទ្រជាដើម<em> :មេបញ្ជាការកងទ័ពជើងទឹក។</em></li></ul>
កងទ័ពអាកាស	[កង-ទាប់-អា-កាស]	<ul><li><strong>ន.</strong> អង្គភាពកងទ័ពដែលមានកាតព្វកិច្ចធ្វើប្រតិបត្តិការក្នុងដែនអាកាស។</li></ul>
កងទ្រនាប់	[កង-ទ្រ-នាប់]	<ul><li><strong>ន.</strong> កងទ្រនាប់ដាក់ចន្លោះក្បាលខ្ចៅសម្រាប់រឹតបន្តឹងខ្ចៅ<em> :កងទ្រនាប់ខ្ចៅស័ង្កសីប្រក់ដំបូល, កងទ្រនាប់ខ្ចៅឡាន។(គេច្រើនប្រើពាក្យ រ៉ង ជំនួសពាក្យនេះ)។</em></li></ul>
