ກ	ພຍັນຊນະຕົວທີ 1 ເປັນພວກອັກສອນກາງ ແລະໃຊ້ເປັນຕົວສະກົດໃນແມ່ກັກ. 	
ຄັນຈອງ	ນ.	ດ້າມຂອງຈອງ, ບ່ວງຕັກແກງທີ່ມີຄັນຍາວໆ ຊື່ງູເຫົ່າແນວນຶ່ງຕົວດຳໆ ເອີ້ນງູເຫົ່າ    ຄັນຈອງ. 	
ຄັນຈ້ອງ	ນ.	ດ້າມຂອງຮົ່ມ, ຮົ່ມທີ່ທຳດ້ວຍຜ້າ, ຊື່ຕົ້ນໄມ້ແນວນຶ່ງ ລຳຕົ້ນນ້ອຍໆຄືຄັນຈ້ອງ. 	
ຄັນຍູ	ນ.	ຮົ່ມທີ່ທຳດ້ວຍເຈັ້ຍ, ຮົ່ມເຈັ້ຍ. 	
ຄັນຊັ່ງ	ນ.	ເຄື່ອງສຳລັບຍົກເອົາຂອງໜັກຂຶ້ນ ເຮັດດ້ວຍໄມ້ຍາວໆພາດໃສ່ຫົວເສົາໃຫ້ເດື່ອງຂຶ້ນ    ເດື່ອງລົງໄດ້, ເຄື່ອງຊັ່ງນໍ້າໜັກແບບບູຮານ ຕາມຄັນຝັງທອງເປັນເມັດນ້ອຍໆ    ໝາຍບອກນໍ້າໜັກ. 	
ຄັນຖະ	ນ.	ຄັມພີ, ໜັງສື, ຂອດ, ບ່ອນເປັນຂອດ (ປ.) 	
ຄັນຖະທຸຣະ	ນ.	ການຮຽນຄັມພີ ຫລື ຮຽນໜັງສື, ຮຽນຄວາມຮູ້ທຸຣະໃນທາງສາສນາມີ 2 ຢ່າງ ຄື:    ຄັນຖະທຸຣະການຮຽນຄັມພີ 1 ວິປັສນາທຸຣະ ການເຝິກໃຈໃຫ້ເກີດປັນຍາເຫັນແຈ້ງ 1 (ປ.) 	
ຄັນຖະຣົຈນາຈານ (ຄັນຖະຣົດຈະນາຈານ)	ນ.	ອາຈານຜູ່ແຕ່ງຄັມພີ (ປ.) 	
ຄັນທະ	ນ.	ກິ່ນຫອມ, ກິ່ນ (ປ.)   	
&nbsp; &nbsp; &nbsp; 	ຄັນທະກຸດີ	ນ.ຫ້ອງອົບເຄື່ອງຫອມ, ກຸຕິບ່ອນຢູ່ຂອງ    ພຣະພຸທເຈົ້າ (ປ.)   	
&nbsp; &nbsp; &nbsp; 	ຄັນທະມາດ	ນ. ພູເຂົາທີ່ເຕັມໄປດ້ວຍເຄື່ອງຫອມຕ່າງໆ (ປ.    ຄັນທມາທນ)   	
&nbsp; &nbsp; &nbsp; 	ຄັນທະຣົດ	ນ. ຊື່ໝາກໄມ້ແນວນຶ່ງ ໜ່ວຍຄືໝາກຂຽບ ແຕ່ບໍ່ເປັນຕາ    ເປືອກນອກສຸກແລ້ວເປັນສີເຫລືອງແກ່.   	
&nbsp; &nbsp; &nbsp; 	ຄັນທະພານິດ	ນ. ພໍ່ຄ້າເຄື່ອງຫອມ (ປ.    ຄັນທພານິຊ) 	
ຄັນແທ	ນ.	ດິນທີ່ປັ້ນຂວາງນໍ້າໄວ້ໃນໃຮ່ນາ. 	
ຄັນທັບ	ນ.	ຊາວສວັນພວກນຶ່ງເປັນບໍຣິວານຂອງທ້າວທະຕະຣັດຖະ ມີຄວາມເກັ່ງໃນທາງຟ້ອນລຳ ແລະ ການ    ດົນຕີ (ປ. ຄັນທັພພ)   	
&nbsp; &nbsp; &nbsp; 	ຄັນທັພວິວາຫະ	ກ. ການແຕ່ງດອງແບບຄັນທັບ ຄືຊູເອົາກັນເອງ:      	
&nbsp; &nbsp; &nbsp; 	ຄັນທັພສາດ	ນ. ວິຊາດົນຕີແລະຮ້ອງລຳ  (ສ. ຄັນທັພພສາສຕຣ) 	
ຄັນນະນາ	ກ.	ນັບ  (ປ. ຄນນາ) 	
ຄັນນາ-ຄັນແທນາ 	ນ.	ເຄື່ອງໃນຂອງສັດຈຳພວກຄ້ຽວເອື້ອງ ມີ ງົວ ຄວາຍ ເປັນຕົ້ນ ອັນເປັນຕາຄື ຄັນນາ    ເອີ້ນ ໃສ້ຄັນນາ ຫລື ຄັນແທນາ. 	
ຄັນວ່າ	ສ.	ຖ້າວ່າ, ຜິວ່າ. 	
ຄັນຮົ່ມ	ນ.	ດ້າມຂອງຮົ່ມ, ຊື່ເຫັດແນວນຶ່ງຂາຍາວຄືຄັນຮົ່ມ. 	
ຄັນຫລາວ	ນ.	ໄມ້ປ່ອງຍາວໆທີ່ແຫລມປາຍທັງສອງຂ້າງ ໃຊ້ສຳລັບຫາບມັດເຂົ້າ ຫລື ມັດຫ້ຽາ. 	
ຄັ້ນ	ກ.	ບີບດ້ວຍມື, ບັງຄັບ. 	
ຄານ	ນ.	ໄມ້ສຳລັບຫາບສິ່ງຂອງ, ໄມ້ຫລືເຫລັກສຳລັບຮອງຂອງໜັກ,  ກ. ໄປດ້ວຍມື ຫລືເຂົ່າ.     ວ. ງາມ, ໜ້າຮັກ (ນາງຄານ ບາຄານ)   	
&nbsp; &nbsp; &nbsp; 	ຄານຫາມ	ນ. ຕລ່ຽງ, ໄມ້ສຳລັບຫາມ. 	
ຄ້ານ	ກ.	ຫັກ, ຕ່າວຄືນໂດຍສູ້ບໍ່ໄດ້ "ໄມ້ໂຄ່ນຄ້ານເດັຍຣະດາດດອຍດົງ" (ສິນໄຊ) ວ.    ບໍ່ໝັ່ນ, ທໍ້ຖອຍ. 	
ຄ້ານ	ກ.	ທ້ວງ, ຫ້າມ, ບໍ່ເຫັນດີນຳ. 	
ຄີ້ນ	ກ.	ເອົາມືຫລືຂອງອື່ນຄືນີ້ວມືງັດຂຶ້ນ ຫລື ໃຫ້ປີ້ນ, ງັດ, ງ້າງ. 	
ຄຶມ	ນ.	ເຄື່ອງຫ້າງເອົາສັດຈຳພວກນົກແລະໄກ່ ເຮັດດ້ວຍບ້ວງມັດຕິດຄັນຫລາຍອັນຕໍ່ກັນ    ເປັນສາຍ.  	
ຄຶນ	ນ.	ເວລາຕັ້ງແຕ່ຕາເວັນຕົກໄປຮອດແຈ້ງ, ກ. ກັບມາ, ມີຊີວິດມາໃໝ່, ຕາຍແລ້ວມີຊີວິດ    ມາອີກ. 	
ຄື່ນ	ອຸ.	ສຽງດັງຢ່າງນຶ່ງດັ່ງສຽງຟ້າຮ້ອງເປັນຕົ້ນ. 	
ຄຸນ	ນ.	ສາຍ, ເຊືອກ, ເສ້ນ, ພວງ, ສາຍໜ້າ, ສາຍຊໍ, ທໍ່ (ທະວີຄູນ:ສອງທໍ່, ຕຣີຄູນ    ສາມທໍ່) (ປ.) 	
ຄຸນ	ຄວາມດີ, ຄວາມຊ່ວຍເຫລືອ, ອຸປກາຣະ, ຄຳບອກລັກສນະ ຂອງນາມ (ປ.)   	
&nbsp; &nbsp; &nbsp; 	ຄຸນທັມ	(ອ່ານວ່າ    ຄຸນນະທຳ) ນ. ຄວາມດີ. (ປ.)   	
&nbsp; &nbsp; &nbsp; 	ຄຸນຣາສີ	ນ. ຜູ່ມີຄວາມດີເປັນອັນມາກ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນລັກສນະ	ນ. ເຄື່ອງບອກໃຫ້ເຫັນຄວາມດີໃນສັນດານ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນພາບ	ນ. ລັກສນະ-ຄວາມດີ, ລັກສນະ    ປະຈຳຕົວຄົນ ຫລືສິ່ງຂອງ   	
&nbsp; &nbsp; &nbsp; 	ຄຸນວິເສດ	ນ. ຄວາມດີຕ່າງໆ (ປ. ຄຸນວິເສສ)   	
&nbsp; &nbsp; &nbsp; 	ຄຸນວຸທິ	ນ.    ຜູ່ຈະເຣີນດ້ວຍຄຸນ, ຜູ່ເຕັມໄປດ້ວຍຄວາມດີ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນນາມ	ນ. ຄຳເວົ້າໃນໄວຍາກອນ    ເປັນຄຳບອກລັກສນະ ຂອງຄຳນາມ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນສັບ	ນ. ສຽງດີດແຫ່ງທະນຸ, ຄຳວິເສດ, ຄຳຄຸນ,    ຄຳທີ່ບອກລັກສນະຂອງນາມ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນສົມບັດ	ນ. ຄວາມດີຍິ່ງ, ບໍຣິບຸນດ້ວຍຄວາມດີ.  	
ຄຸ້ນ	ວ.	ບໍ່ແຄະ, ເຄີຍ, ຊຳນານ. 	
ຄູນ	ນ.	ປາແນວນຶ່ງບໍ່ມີເກັດຕົວຄືປາຄ້າວ ແຕ່ພີແລະສັ້ນກວ່າປາຄ້າວ. 	
ຄູນ	ຕົ້ນໄມ້ແນວນຶ່ງດອກເປັນຊໍ່ສີເຫລືອງ ໝາກເປັນຝັກຍາວ ແກ່ນໃຊ້ຄ້ຽວກັບໝາກ, ກ.    ເອົາກອງກັນຂຶ້ນທຳໃຫ້ສູງຂຶ້ນ, ທະວີ, ທຳໃຫ້ມາກຂຶ້ນຕາມສ່ວນ (ຄູນເລກ)  ວ. ດີ,    ປະເສີດ.   	
&nbsp; &nbsp; &nbsp; 	ຄຸນລານ	ຫລື  	
&nbsp; &nbsp; &nbsp; 	ຄູນເຂົ້າ	ນ. ການທຳບຸນເວລາກ່ຽວຫລືຟາດເຂົ້າເພື່ອ    ໃຫ້ເປັນມຸງຄຸນ. 	
ເຄັ້ນ	ວ.	ຂັດ (ຄໍເຄັ້ນ) ກ. ບີບ, ຄັ້ນ, ກຳດ້ວຍມືໃຫ້ແໜ້ນ. 	
ເຄນ	ກ.	ມອບໃຫ້, ເອົາໃຫ້ (ໃຊ້ສຳລັບເອົາຂອງໃຫ້ພຣະພິກຂຸສາມເນນ ຫລື ພຣະເຈົ້າແຜ່ນດິນ) 	
ແຄນ	ນ.	ໄມ້ແນວນຶ່ງ ເປັນໄມ້ຂນາດໃຫຍ່ ແກ່ນແຂງໃຊ້ເຮັດເຄື່ອງເຮືອນໄດ້ດີທີ່ສຸດ. 	
ແຄນ	ນ.	ເຄື່ອງຕຸຣິຍະຢ່າງນຶ່ງ ເຮັດດ້ວຍໄມ້ປ່ອງຫລາຍອັນສຸບໃສ່ໃນເຕົ້າ ໃຊ້ປາກເປົ່າ. 	
ແຄນ	ວ.	ໄຄ (ແຄນແດ່, ໄຄແດ່), ບໍ່ຮ້ອນປານໃດ. 	
ແຄ່ນ	ນ.	ຊື່ໄມ້ແນວນຶ່ງ ໜ່ວຍນ້ອຍທໍ່ໝາກພິກໄທ ໝາກເປັນພົ້ວ ມີຣົດຮຶນເຜັດ ກິ່ນຫອມ    ໃຊ້ປະສົມອາຫານ. 	
ແຄ້ນ	ກ.	ບໍ່ລົງ, ຄາຢູ່ໃນຄໍ, ບໍ່ໄຫລລົງ, ເຄືອງໃຈ.  	
ຄົນ	ນ.	ມະນຸດ, ຊົນ.   	
&nbsp; &nbsp; &nbsp; 	ຄົນລະ	ວ. ຕ່າງກັນ (ດັ່ງຄຳວ່າຄົນລະແນວ) 	
ຄົນ	ກ.	ກວນໃຫ້ທົ່ວ, ສັບປົນກັນ. 	
ຄົ້ນ	ກ.	ຊອກ, ສແວງ, ຄວັດປີ້ນຂຶ້ນ,   	
&nbsp; &nbsp; &nbsp; 	ຄົ້ນຫູກ	ກ. ຈັດເສ້ນໄໝ ຫລື ເສ້ນຝ້າຍທີ່ຈະເຮັດ    ເຄືອຫູກໃຫ້ພໍດີກັບປ່ອງແຂ້ວຟືມ. 	
ໂຄນ	ນ.	ເສົາໃຫຍ່, ເສົາກົກ, ກົກຕົ້ນໄມ້, ເຫງົ້າ. 	
ໂຄ່ນ	ກ.	ອາການຂອງທີ່ມີຮາກ ຫລື ຝັງຢູ່ ລົ້ມລົງເອງ, ລົ້ມ. 	
ໂຄ່ນຄ້ານ	ກ.	ໂຄ່ນແລະຫັກ (ໄມ້ໂຄ່ນຄ້ານ), ລົ້ມລົງ, ຫັກລົງ. 	
ໂຄ້ນ	ນ.	ຂອນ, ຂອນໄມ້, ທ່ອນໄມ້, ຕ່ອນ (ຊີ້ນໂຄ້ນ), ຂອງເປັນຕ່ອນເປັນທ່ອນ    (ໂຄ້ນເຂົ້າຕົ້ມ)  	
ຄອນ	ນ.	ໄມ້ບ່ອນນົກຈັບ, ແປວນໍ້າເລິກ, ທາງນໍ້າໄຫລ. 	
ຄອນ	ກ.	ເອົາໄມ້ ຫລືໄມ້ຄານສອດເອົາຂອງຂ້າງດຽວໃສ່ບ່າໄປ, ບໍ່ແໜ້ນ, ເໜັງໄປມາໄດ້.  	
&nbsp; &nbsp; &nbsp; 	ຄອນໆ	ວ. ລາງເທື່ອ, ລາງທີ. 	
ຄອນອັກ	ນ.	ໄມ້ຄືຄອນນົກບ່ອນເອົາອັກສຸບໃສ່ແລ້ວກວັກ. 	
ຄ່ອນ	ກ.	ຟັນງ່າໄມ້ອອກ, ບັ່ນອອກ, ຍ້າຍ (ເຄົ້າຄ່ອນໄມ້) 	
ຄ້ອນ	ນ.	ຊື່ເຄື່ອງມືສຳລັບຕີ ຫລື ຕອກລົງ ເຮັດດ້ວຍໄມ້ ຫລືເຫລັກ ມີຫລາຍຢ່າງຕ່າງໆກັນ.      	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນກອງ	ນ. ຄ້ອນສຳລັບຕີກອງ, ນ. ຊື່ຕົ້ນໄມ້ແນວນຶ່ງເປັນຕົ້ນນ້ອຍໆ ທໍ່ເສ້ນ    ສໍດຳ ມີຫົວຄ້າຍຄືຫົວຄ້ອນກອງ.   	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນຊໍ້	ນ.    ຄ້ອນເຫລັກນ້ອຍເຈາະຮູກາງສຳລັບໃສ່ດ້າມໃຊ້ຕອກຕາປູ ເປັນຕົ້ນ.   	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນທະເນີນ	ນ.    ຄ້ອນຢ່າງດຽວກັນກັບຄ້ອນຊໍ້ ແຕ່ໃຫຍ່ແລະໃສ່ດ້າມຍາວສຳລັບຕີເຫລັກ.   	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນຕະບອງ	ນ.    ເຄື່ອງມືຂອງພວກຍັກໃຊ້ໃນການຣົບເຣວກັນ.   	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນຕອກສິ່ວ	ນ. ຄ້ອນສຳລັບຕອກສິ່ວລົງ.      	
&nbsp; &nbsp; &nbsp; 	ຄ້ອນທັ່ງ	ນ. ທ່ອນເຫລັກກົມໆຕັ້ງໄວ້ເປັນບ່ອນຮອງຕີເຫລັກ. 	
ຄຽນ	ກ.	ພັນ, ເອົາຂອງເປັນເສ້ນຍາວພັນເຂົ້າ. 	
ຄ່ຽນ	ກ.	ຍ້າຍ, ຕັກອອກ, ຖ່າຍອອກ. 	
ເຄື່ອນ	ກ.	ຍ້າຍ, ຫຍັບໄປ, ໄປ. 	
ຄວນ	ວ.	ຖືກຕ້ອງ, ແມ່ນ, ເໝາະ, ພໍດີ, ຊອບ, ເປັນຄຳຊ່ອຍກິຣິຍາ ດັ່ງ ຄວນກິນ, ຄວນເຮັດ. 	
ຄ່ວນ	ນ.	ຊັ້ນເທິງຂອງເຮືອນບ່ອນຂື່ພາດ ຮຽກວ່າ ຄ່ວນ (ດັ່ງຄຳວ່າ ຫໍ້ງຄ້າງຄ່ວນ) 	
ຄ້ວນ	ກ.	ເຮັດໃຫ້ເປັນວົງເຂົ້າ, ເອົາຂອງຍາວໆຂົດເຂົ້າ.   	
&nbsp; &nbsp; &nbsp; 	ຄ້ວນໝໍ້	ນ.    ຂອງທີ່ເຮັດເປັນວົງຮອງກົ້ນໝໍ້. 	
ຄັບ	ນ.	ຊື່ແມງແນວນຶ່ງ ປີກແຂງສີຂຽວ ກິນໃບໄມ້ເອີ້ນແມງຄັບ, ວ. ແໜ້ນ, ບໍ່ຫລົມ.  	
ຄັບ	ນ.	ທ້ອງ, ລູກໃນທ້ອງ, ສ້ວມນອນ (ປ. ຄັພພ) ມັກໃຊ້ວ່າ ທົງຄັບ ແປວ່າມີລູກ  	
&nbsp; &nbsp; &nbsp; 	ຄັບພາ-	
&nbsp; &nbsp; &nbsp; 	ຄັບໂພທອນ	ນ. ລູກໃນທ້ອງ, ສັດເກີດໃນທ້ອງ, ຮວາຍລູກ (ສ. ຄັພໂພທຣ) 	
ຄັບ	ນ.	ໝາກພັບ (ຄັບທອງ) 	
ຄັບຂັນ	ວ.	ຫຍຸ້ງຍາກ, ເວລາຈຳເປັນທີ່ຈະຕ້ອງຕໍ່ສູ້. 	
ຄັບຄາ	ວ.	ກະເທີນ, ບໍ່ຄັກແນ່, ລະຫວ່າງແຄບ. 	
ຄັບຄັ່ງ	ວ.	ແໜ້ນອັ່ງ, ເຕັມຫລາຍ. 	
ຄັບແຄ	ນ.	ຊື່ນົກແນວນຶ່ງ ຕົວຄືນົກເປັດ ແຕ່ນ້ອຍແລະຂົນດ່າງ (ແຂບແຄ ກໍວ່າ) 	
ຄັບແຄ້ນ	ວ.	ທຸກຍາກ, ລຳບາກ. 	
ຄັບແຄບ	ວ.	ບໍ່ກວ້າງ, ທັງຄັບແລະແຄບ. 	
ຄັບໃຈ	ວ.	ບໍ່ສະດວກໃຈ, ອັດອັ້ນຕັນໃຈ. 	
ຄັບທອງ	ນ.	ຕົ້ນໄມ້ແນວນຶ່ງ ເປັນໄມ້ມີຜົນ ໜ່ວຍຫລືຜົນຄືໝາກໂກ ແຕ່ໃຫຍ່ກວ່າໝາກໂກ    ສຸກແລ້ວສີເຫລືອງ (ໝາກພັບ ກໍວ່າ)  	
ຄາບ	ນ.	ຄັ້ງ, ຫົນ, ເທື່ອ, ເວລາ (ໃນກາລະຄາບນຶ່ງ): ຮ່າງກາຍຂອງຄົນແລະສັດ ຫລື    ສິ່ງທີ່ຕາຍແລ້ວ, ຊາກຂອງສັດບາງຈຳພວກທີ່ມັນລອກອອກ ດັ່ງ ຄາບງູເປັນຕົ້ນ.  	
ຄາບ	ກ.	ເອົາປາກຂົບສິ່ງໃດສິ່ງນຶ່ງໄວ້. 	
ຄີບ	ກ.	ໜີບ, ນ. ລະຍະຍາວສຸດໂປ້ມືກັບນິ້ວຊີ້ທີ່ຢຽດອອກ, ກ. ແທກດ້ວຍລະຍະໂປ້ມືກັບ    ນີ້ວຊີ້. 	
ຄຶບໆ	ອຸ.	ສຽງດັງຢ່າງນຶ່ງ. 	
ຄືບ	ນ.	ມາດຕາແທກລະຍະ 12 ນິ້ວ ຄືລະຍະແທກຕັ້ງແຕ່ຫົວໂປ້ມືສຸດປາຍນິ້ວກາງທີ່ຢຽດອອກ,    ຊື່ບົ້ງແນວນຶ່ງທີ່ຄືບໄປເປັນລະຍະ ເອີ້ນບົ້ງຄືບ, ກ. ການແທກດ້ວຍລະຍະຂອງຄືບ. 	
ຄຸບ	ກ.	ເອົາມືງຸ້ມເອົາຂອງໂດຍໄວ, ເອົາຂອງເປັນເສ້ນໂຮມເຂົ້າກັນ, ໂຮມເຂົ້າກັນ, ທະວີ,    ຕື່ມ. 	
ຄູບ	ນ.	ກະດູກສັນຫລັງບ່ອນຄໍຕໍ່ຂອງສັດພາ ຫນະ 	
ແຄບ	ວ.	ບໍ່ກວ້າງ, ມີຄວາມກວ້າງໜ້ອຍ. 	
ຄົບ	ກ.	ໄປມາຫາກັນ, ຮັກແພງກັນ, ວ. ຈວບ, ພໍ້ (ທາງຄົບ), ເຕັມຈຳນວນທີ່ກຳນົດ ໄວ້,     	
&nbsp; &nbsp; &nbsp; 	ຄົບຄ້າ,ຄົບຫາ	ກ. ໄປມາຫາສູ່, ຮັກແພງກັນ. 	
ໂຄບ	ນ.	ຊື່ເຂົ້ານົມຢ່າງນຶ່ງເຮັດດ້ວຍເຂົ້າໜຶ້ງຕາກແຫ້ງແລ້ວຈືນນໍ້າມັນ, ລັກສນະນາມ    ໃຊ້ຮຽກແຂ້ວທີ່ຢູ່ກົກວ່າ ແຂ້ວໂຄບ. 	
ໂຄບ	ກ.	ເອົາໂລຫະເປັນແຜ່ນຫຸ້ມຫລືໂອບໄວ້ທາງນອກ. 	
ໂຄບ	ກ.	ໂລບ, ແຫຍ້ຊິງເອົາ, ເຕັງ, ຂົ່ມເຫງ. 	
ຄອບ	ວ.	ບອກໃຫ້ຮູ້, ຮອບຂອງເກົ່າ (ເຄົ້າຄ່ຽນຫວ້າຍວຽນຄ້ອຍຄອບຄອນ)  	
ເຄີບ	ວ.	ເຊືອບ, ຫລັບໄປໜ້ອຍນຶ່ງ. 	
ຄວບ	ກ.	ໂຮມເຂົ້າກັນ, ໂຮມກັນ (ຜ້າຄວບ:ຄືຜ້າທີ່ເຂັນເສ້ນໄໝເຂົ້າກັນຫລາຍເສ້ນ)  	
ຄັພບາດ  (ຄັບພະບາດ)	ນ.	ການຫລຸລູກ (ສ. ຄັພພປາຕ) 	
ຄັພມາດ (ຄັບພະມາດ)	ນ.	ເດືອນມີທ້ອງ (ສ. ຄັພພມາສ)  	
ຄັພຣັກສາ (ຄັບພະຣັກສາ)	ນ.	ການຮັກສາທ້ອງ (ສ.) 	
ຄັພລູກ (ຄັບພະລູກ)	ນ.	ລູກໃນທ້ອງ. 	
ຄັພວິບັດ (ຄັບພະວິບັດ)	ນ.	ການຕາຍແຫ່ງເດັກໃນທ້ອງ (ສ. ຄັພພວິປັຕຕິ) 	
ຄັພວີກ (ຄັບພະວີກ)	ນ.	ຜູ່ເກີດຈາກທ້ອງ (ສ.) "ຄັພວີກເວ້ນວາງທ້ອງແມ່ມາ" (ສິນໄຊ) 	
ຄັພໄສຍະກະ (ຄັບພະໄສຍະກະ)	ນ.	ຜູ່ເກີດໃນຮວາຍລູກ (ສ.) 	
ຄັພໄສຍາ (ຄັບພະໄສຍາ)	ນ.	ອູ່ລູກ, ຮວາຍລູກ (ສ.) 	
ຄັພໄສຍາດ (ຄັບພະໄສຍາດ)	ນ.	ການນອນໃນທ້ອງ, ກ. ຢູ່ໃນທ້ອງ (ສ. ຄັພພສັຍຍາສນ) 	
ຄັມພີ	ນ.	ໜັງສືທີ່ມີຂໍ້ຄວາມເລິກແລບ, ໜັງສືທີ່ຮຽນຮູ້ໄດ້ຍາກ, ໜັງສືໄຕປີດົກ,    ຄວາມເລິກແລບແຫ່ງສາຍບື, ກະແສສຽງແລະອັດຊາສັຍ 	
ຄັມພີຣະ	ວ.	ເລິກແລບ (ຄັມພີ)   	
&nbsp; &nbsp; &nbsp; 	ຄັມພີຣະພາບ	ນ. ຄວາມເລິກແລບ, ວ. ເລິກ (ປ. ຄັມພີຣ) 	
ຄາມ	ນ.	ໄມ້ນ້ອຍໆຈຳພວກຫຍ້າໃບມົນຮີ ໃຊ້ເຮັດສີຟ້າໄດ້, ສີແຫລ້ທີ່ທຳຈາກຕົ້ນຄາມ.  	
ຄາມ	ນ.	ບ້ານ, ໝູ່ບ້ານ (ປ.)   	
&nbsp; &nbsp; &nbsp; 	ຄາມກະ	(ຄາມມະກະ) ບ້ານນ້ອຍ.   	
&nbsp; &nbsp; &nbsp; 	ຄາມຈັຣຍາ	(ຄາມມະຈັນຣະຍາ)    ທັມນຽມຂອງບ້ານ.   	
