a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
abarrotar	<ul><li>A transitive verb <ol><li>1 (encher) to cram ‹armário› <br><p-l>XXX abarrotar o armário com roupas </p-l>YYYto fill or cram the wardrobe with clothes <br><p-l>XXX eles estão abarrotando os bolsos de dinheiro </p-l>YYYthey are filling or lining their pockets with cash </li><li>2 (cobrir com barrotes) to fit rafters to ‹teto, cobertura› </li><li>B intransitive verb Portugal <ol><li>1 (ficar muito cheio) estar a abarrotar <br>to be packed <br><p-l>XXX a sala de cinema estava a abarrotar de gente </p-l>YYYthe movie theater was packed with people </li><li>2 (ficar empanturrado) estar a abarrotar <br>to be full to the brim, to be fit to burst </li><li>C abarrotar-se pronominal verb <ol><li>1 (empanturrar-se) «pessoa» to fill oneself up, to stuff oneself informal <br><p-l>XXX as crianças abarrotaram-se de doces </p-l>YYYthe children filled themselves up or stuffed themselves with desserts </li><li>2 (encher-se de pessoas) «lugar» to be packed <br><p-l>XXX os salões de beleza se abarrotam de gente </p-l>YYYthe beauty parlors are packed with people </li><li>3 derogatory (encher-se de dinheiro) «pessoa, empresa» to line one's pockets <br><p-l>XXX estas empresas abarrotam-se de lucros </p-l>YYYthese companies are lining their pockets with profits </li></ol></li></ul>
abase	to abase oneself reflexive verb <br>humilhar-se <br><p-l>XXX to abase oneself before sb </p-l>YYYhumilhar-se perante alguém 
abashed	adjective <br>envergonhado ‹look, stand, feel› <br><p-l>XXX the personal attacks made me feel terribly abashed </p-l>YYYos ataques pessoais me fizeram sentir terrivelmente envergonhado 
abastado	<ul><li>A adjective <ol><li>1 (endinheirado) well-off ‹família, lavrador› <br><p-l>XXX nascido em família abastada </p-l>YYYborn into a well-off family </li><li>2 (bem abastecido) abundant </li><li>3 (farto) packed <br><p-l>XXX abastado de algo </p-l>YYYpacked with sth <br><p-l>XXX um shopping abastado de roupa para todos os gostos e estilos </p-l>YYYa mall packed with clothes for all tastes and styles </li><li>B abastada masculine noun, feminine noun <br>(pessoa endinheirada) well-off person, rich person <br><p-l>XXX os abastados </p-l>YYYthe well-off, the rich </li></ol></li></ul>
abastança	feminine noun <ol><li>1 (abundância) abundance <br><p-l>XXX abastança de comida/água </p-l>YYYabundance of food/water <br><p-l>XXX sua família passou da abastança às privações </p-l>YYYhis family went from abundance to hardship </li><li>2 (riqueza) wealth <br><p-l>XXX a família não nadava em muita abastança </p-l>YYYthe family was not very wealthy </li></ol>
abastardar	<ul><li>A transitive verb <br>(corromper) to corrupt ‹pessoa› <br><p-l>XXX estrangeirismos que abastardam a nossa língua </p-l>YYYforeign words that corrupt our language </li><li>B abastardar-se pronominal verb <br>(corromper-se) «partido, regime» to become corrupt </li></ul>
abastecedor	<ul><li>A masculine noun <br>(fornecedor) supplier <br><p-l>XXX um abastecedor de produtos/matérias-primas </p-l>YYYa supplier of products/raw materials </li><li>B adjective <br>supply (before n) ‹firma, empresa› <br><p-l>XXX o principal centro abastecedor </p-l>YYYthe main supply center <br><p-l>XXX um posto abastecedor de combustíveis </p-l>YYYPortugal a gas station US, a petrol station British </li></ul>
abastecedor de combustível	masculine noun <br>pump attendant 
abastecer	<ul><li>A transitive verb <ol><li>1 (prover do necessário) to supply ‹mercado, casa› <br><p-l>XXX o mercado está bem abastecido </p-l>YYYthe market is well supplied </li><li>2 (pôr combustível em) to fill up ‹veículo› <br><p-l>XXX vou abastecer o meu carro </p-l>YYYI'm going to fill the car up </li><li>B abastecer-se pronominal verb <ol><li>1 (fazer provisão) abastecer-se de algo <br>to get a supply of sth <br><p-l>XXX fui ao açougue e abasteci-me para uma quinzena </li><li>I went to the butcher's and got two weeks' supply of meat </p-l>YYY▸ você pode abastecer-se de cálcio comendo peixe <br>you can get your calcium requirement by eating fish </li><li>2 (pôr combustível no veículo) to fill the tank, to fill up <br><p-l>XXX eles abastecem-se do combustível necessário para vários dias </p-l>YYYthey fill the tank or fill up with enough fuel for several days </li></ol></li></ul>
abastecimento	masculine noun <br>supply <br><p-l>XXX abastecimento de água/energia </p-l>YYYwater/power supply <br><p-l>XXX abastecimento doméstico/industrial </p-l>YYYdomestic/industrial supply 
