a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
parecer	<ul><li>A intransitive verb <ol><li>1 (dar a impressão) to look <br><p-l>XXX parece ter mais idade </p-l>YYYhe looks older </li><li>2 (ser provável) to look like <br><p-l>XXX parece que vai chover </p-l>YYYit looks like rain </li><li>3 (dizer-se) to seem <br><p-l>XXX parece que chegam hoje </p-l>YYYit seems they're arriving today </li><li>4 (ter aspecto) to look <br><p-l>XXX parecer triste/cansado/doente </p-l>YYYto look sad/tired/ill </li><li>5 (assemelhar-se fisicamente) to look like </li><li>6 (ter conteúdo parecido) to be like <br><p-l>XXX isto parece uma história que eu li há um tempo </p-l>YYYthis is like a story that I read a while ago </li><li>7 (ter forma semelhante) to look like <br><p-l>XXX o lago parecia um espelho </p-l>YYYthe lake looked like a mirror </li><li>B transitive verb <br>(opinar) to think <br><p-l>XXX disse o que me parecia </li><li>I said what I thought </p-l>YYY▸ que lhe parece? <br>what do you think? </li><li>C masculine noun <ol><li>1 (opinião) mind <br><p-l>XXX mudar de parecer </p-l>YYYto change one's mind </li><li>2 (opinião formal) opinion <br><p-l>XXX os peritos emitiram um parecer </p-l>YYYthe experts issued an opinion </li><li>3 (aparência) uma moça de muito bom parecer <br>a very good-looking girl </li><li>D parecer-se pronominal verb <br>(ser parecido) to look alike <br><p-l>XXX eles se parecem muito </p-l>YYYthey look very much alike <br><p-l>XXX parecer-se com </p-l>YYYto be like <br>EXPRESSÕES <br>até parece <br>informal like informal: <br><p-l>XXX até parece que eu vou cair nessa … </p-l>YYYlike I would fall for that one … <br>fazer parecer <br>to make it seem like: <br><p-l>XXX uma textura que faz parecer que as imagens estão flutuando </p-l>YYYa texture that makes it seem like the images are floating <br>pelo or ao que parece <br>apparently: <br><p-l>XXX ao que parece, o objetivo foi alcançado </p-l>YYYapparently the goal was achieved <br>segundo me parece </li><li>I think, in my opinion: <br>▸ segundo me parece, fizeram um ótimo trabalho </li><li>I think they did a great job </li></ol></li></ul>
parecido	adjective <ol><li>1 (que tem parecenças com) ser parecido com <br>to look like <br><p-l>XXX a tua filha é parecida com o pai </p-l>YYYyour daughter looks like her father </li><li>2 (semelhante) similar <br><p-l>XXX eles têm uma voz muito parecida </p-l>YYYthey have a very similar voice </li></ol>
pared-down	adjective <br>reduzido ‹budget, version, plot› 
parede	feminine noun <ol><li>1 Building wall <br><p-l>XXX construir/derrubar uma parede </p-l>YYYto build/knock down a wall <br><p-l>XXX uma parede dupla/falsa/mestra </p-l>YYYa double/false/structural wall </li><li>2 figurative (obstáculo) barrier <br><p-l>XXX parece que tem uma parede entre a gente </p-l>YYYthere seems to be a barrier coming between us </li><li>3 Anatomy wall <br><p-l>XXX as paredes do estômago </p-l>YYYthe walls of the stomach <br>EXPRESSÕES <br>as paredes têm ouvidos <br>walls have ears <br>bater/dar com a cabeça nas paredes <br>to bang one's head against a wall <br>encostar alguém à parede <br>to push sb up against the wall: <br><p-l>XXX o homem foi encostado à parede, mas tem a razão do seu lado </p-l>YYYthe man's caught between a rock and a hard place, but he has reason on his <br>side <br>falar para as paredes <br>to talk to a brick wall: <br><p-l>XXX a gente fica com a sensação que está falando para as paredes </p-l>YYYyou get the feeling you're talking to a brick wall <br>lançar o barro à parede <br>to give it a shot <br>paredes meias com <br>side-by-side with: <br><p-l>XXX viver paredes meias com o medo </p-l>YYYto live side-by-side with fear <br>pôr/meter os pés à parede <br>to dig one's heels in: <br><p-l>XXX o namorado era homem teimoso; meteu os pés à parede e não voltou atrás </p-l>YYYher boyfriend was very stubborn; he dug in his heels and didn't give in <br>subir pelas paredes Brazil <br>to go up the wall </li></ol>
paredão	masculine noun <br>(em terra) high wall; (marítimo) breakwater 
parelha	feminine noun <ol><li>1 (junta) team </li><li>2 (parceria) pair </li><li>3 informal (par) pair <br><p-l>XXX que parelha de asneirões! </p-l>YYYwhat a pair of chumps! </li></ol>
parelho	adjective <br>even ‹duelo, disputa› <br><p-l>XXX um jogo parelho e bastante disputado </p-l>YYYan even, keenly contested game 
parent	<ul><li>A noun <ol><li>1 (father) pai m; (mother) mãe f <br><p-l>XXX my/our parents </p-l>YYYmeus/nossos pais </li><li>2 (animal, plant) pai m </li><li>B adjective before n <ol><li>1 (parental) dos pais ‹involvement, concern› </li><li>2 Zoology, Botany pai ‹bird, animal, plant› </li><li>3 Business matriz <br><p-l>XXX the parent bank/organization </p-l>YYYo banco/a organização matriz </li></ol></li></ul>
parentage	noun <br>uncountable ascendência f <br><p-l>XXX to be of humble/unknown parentage </p-l>YYYser de ascendência humilde/desconhecida 
parental	adjective <br>parental ‹aconselhamento, responsabilidade, figura› <br><p-l>XXX licença parental </p-l>YYYparental leave <br><p-l>XXX linhagens parentais </p-l>YYYparental lines 
parental guidance	noun <br>uncountable supervisão f  dos pais 
parent company	noun <br>matriz f (empresa) 
parente	<ul><li>A masculine and feminine noun <br>relative <br><p-l>XXX ter um parente afastado </p-l>YYYto have an estranged or distant relative </li><li>B adjective <br>related <br>EXPRESSÃO <br>tratar alguém/algo como parente pobre <br>to treat sb/sth like a poor relation: <br><p-l>XXX a educação não pode ser tratada como parente pobre </p-l>YYYeducation cannot be treated like a poor relation </li></ul>
parentela	feminine noun <ol><li>1 informal (conjunto dos parentes) tribe informal, clan informal <br><p-l>XXX veio toda a parentela ao casamento </p-l>YYYthe whole tribe came to the wedding </li><li>2 (família) relatives (pl) </li></ol>
parenteral	adjective <br>parenteral ‹nutrição, solução› <br><p-l>XXX receber alimentação por via parenteral </p-l>YYYto be fed parenterally 
parentesco	masculine noun <ol><li>1 (vínculo social) parenthood <br><p-l>XXX laços/relações de parentesco </p-l>YYYfamily ties/relations <br><p-l>XXX um grupo restrito de pessoas ligadas pelo parentesco próximo </p-l>YYYa restricted group of people who are closely related by parenthood </li><li>2 Law kinship <br><p-l>XXX entregar uma cópia dos documentos que comprovam o grau de parentesco </p-l>YYYto deliver a copy of the documents that prove the degree of kinship </li><li>3 (origem comum) parentage <br><p-l>XXX o parentesco das línguas românicas </p-l>YYYthe parentage of the Romance languages </li><li>4 (semelhança) relationship <br><p-l>XXX fica clara a falta de parentesco entre as duas fachadas </p-l>YYYthe lack of relationship between the two façades is clear </li></ol>
parent-governor	noun <br>British representante mf  dos pais 
parenthesis	noun pl parentheses  | pəˈrɛnθəsiz | <ol><li>1 usu pl Printing parêntese m </li><li>2 (interpolation) parêntese m <br><p-l>XXX in parenthesis </p-l>YYYentre parênteses </li></ol>
parenthood	noun <br>uncountable (father) paternidade f; (mother) maternidade f 
parenting	noun uncountable <br>criação f <br><p-l>XXX parenting skills </p-l>YYYcompetências parentais 
parent power	noun uncountable <br>informal autoridade f  dos pais 
parents' evening	noun <br>reunião f  de pais e mestres Brazil, reunião f  de pais e professores Portugal 
parent–teacher association	noun <br>associação f  de pais e mestres Brazil, associação f  de pais e professores <br>Portugal 
parer	noun <br>descascador m 
pargo	masculine noun <br>Zoology seabream 
pariah	noun <br>pária mf <br><p-l>XXX before n a pariah state </p-l>YYYum estado pária 
paridade	feminine noun <ol><li>1 (semelhança) parity <br><p-l>XXX paridade de gênero </p-l>YYYgender parity </li><li>2 Economics parity <br><p-l>XXX paridade com o dólar </p-l>YYYparity with the dollar </li><li>3 Physics, Mathematics parity <br><p-l>XXX paridade ímpar/par </p-l>YYYeven/odd parity </li></ol>
parideira	<ul><li>A feminine noun <br><p-l>XXX informal uma mulher com ancas de parideira </p-l>YYYa woman with child-bearing hips </li><li>B adjective <br>(a idade de parir) of breeding age ‹animal› ; of child-bearing age ‹mulher› <br><p-l>XXX uma porca parideira </p-l>YYYa breeding sow </li></ul>
parietal	<ul><li>A masculine noun <br>(osso do crânio) parietal bone </li><li>B adjective <ol><li>1 (que forma a parede do crânio) parietal ‹osso, lóbulo› </li><li>2 (que forma parede) wall (before n) ‹estrutura, disposição› </li><li>3 Botany parietal </li></ol></li></ul>
parir	transitive verb <ol><li>1 (dar à luz) to give birth to ‹filho› </li><li>2 figurative (engendrar) to engender ‹ideia› <br>EXPRESSÕES <br>a montanha pariu um rato <br>it was all an anti-climax <br>puta que o pariu! <br>vulgar slang for fuck's sake! vulgar slang </li></ol>
paris	proper noun <br>Paris 
parish	noun <ol><li>1 Religion (area, parishioners) paróquia f </li><li>2 British Politics, Administration distrito m Brazil, freguesia f Portugal </li></ol>
parishioner	noun <br>paroquiano m / paroquiana f 
parish priest	noun <br>pároco m 
parisian	<ul><li>A adjective <br>parisiense </li><li>B noun <br>parisiense mf </li></ul>
parisiense	<ul><li>A masculine and feminine noun <br>(natural de Paris) Parisian </li><li>B adjective <br>Parisian ‹monumento, moda, costureiro› </li></ul>
parity	noun <ol><li>1 uncountable (equality) paridade f, igualdade f <br><p-l>XXX pay parity </p-l>YYYparidade salarial <br><p-l>XXX parity of powers/conditions </p-l>YYYigualdade de poderes/condições <br><p-l>XXX parity between men and women </p-l>YYYigualdade entre homens e mulheres </li><li>2 uncountable Finance paridade f <br><p-l>XXX at parity with the euro </p-l>YYYem paridade com o euro </li></ol>
paritário	adjective <br>equal ‹eleição, representação, conselho, participação› ; joint ‹conselho, <br>comissão› 
park	<ul><li>A noun <ol><li>1 (public garden) parque m </li><li>2 Business parque m <br><p-l>XXX an industrial park </p-l>YYYum parque industrial <br><p-l>XXX a business park </p-l>YYYuma área comercial </li><li>3 (estate) área f </li><li>4 British informal (pitch) campo m </li><li>B transitive verb <ol><li>1 (station) estacionar ‹vehicle› </li><li>2 informal (deposit) deixar ‹belongings, things› <br><p-l>XXX I parked the children at my mother's </p-l>YYYdeixei as crianças na casa da minha mãe </li><li>C intransitive verb <br>estacionar </li><li>D to park oneself reflexive verb <br>informal sentar-se </li></ol></li></ul>
parka	noun <br>Clothing parka f 
park-and-ride	noun <br>British terminal de integração de transporte público com estacionamento 
park bench	noun <br>banco m  de parque 
parking	noun uncountable <ol><li>1 (action) estacionamento m <br><p-l>XXX ‘no parking’ </p-l>YYY‘estacionamento proibido’, ‘proibido estacionar’ </li><li>2 (space for cars) vaga f <br><p-l>XXX a parking lot with parking for 200 cars </p-l>YYYum estacionamento com vaga para 200 carros </li></ol>
parking attendant	noun <br>manobrista mf  de estacionamento Brazil, arrumador mf  de carros Portugal 
parking bay	noun <br>vaga f 
parking light	noun <br>luz f  de estacionamento 
parking lot	noun <br>US estacionamento m  a céu aberto 
parking meter	noun <br>parquímetro m 
parking offense	@parking offence British <br>noun <br>estacionamento m  irregular 
parking permit	noun <br>permissão f  para estacionar 
parking place	@parking space <br>noun <br>vaga f 
parking ticket	noun <br>multa f  de estacionamento 
parkinson's disease	noun <br>uncountable doença f  de Parkinson 
parkland	noun uncountable <br>área f  de parque 
park ranger	@park warden <br>noun <br>guarda-parque mf Brazil; guarda-florestal mf 
parkway	noun <br>US avenida f  arborizada 
parlamentar	<ul><li>A masculine and feminine noun <br>(membro do parlamento) parliamentarian </li><li>B adjective <br>parliamentary ‹membro, sessão, grupo› </li><li>C intransitive verb <br>to negotiate </li></ul>
parlamentarismo	masculine noun <br>parliamentarianism 
parlamentarista	<ul><li>A adjective <br>parliamentarian ‹sistema, regime› </li><li>B masculine and feminine noun <br>parliamentarian </li></ul>
parlamento	masculine noun <ol><li>1 (Assembleia da República) Parliament </li><li>2 (instituição legislativa) parliament </li></ol>
parlance	noun uncountable <br>formal linguagem f <br><p-l>XXX in common parlance </p-l>YYYem linguagem comum <br><p-l>XXX in legal/medical parlance </p-l>YYYem linguagem or na terminologia jurídica/médica 
parlatório	masculine noun <ol><li>1 (balcão em edifício público) parlatorium </li><li>2 (locutório) parlor US, parlour British <br><p-l>XXX os parlatórios dos conventos </p-l>YYYthe convent parlors </li><li>3 informal (conversa) chat informal <br><p-l>XXX há por aí muito parlatório sobre a crise </p-l>YYYthere is a lot of chat about the crisis going about </li></ol>
parlay	<ul><li>A noun <br>acumulada f </li><li>B transitive verb <br><p-l>XXX to parlay a small bankroll into big winnings </p-l>YYYtransformar uma pequena quantia em grandes lucros </li></ul>
parliament	O Parlamento britânico, o órgão legislativo mais importante, é formado pela <br>Câmara dos Lordes e pela Câmara dos Comuns. A primeira tem de mais de 750 <br>membros, a maioria deles nomeados, com um número de cargos hereditários, algo <br>que está sendo reformado no momento. A Câmara dos Comuns tem de 650 membros <br>eleitos. Ver Dáil Éireann, Northern Ireland Assembly, Scottish Parliament, <br>Welsh Assembly. 
parliamentarian	ˌpɑːləmɛnˈtɛːrɪən | <br>A noun <ol><li>1 Politics (member) parlamentar mf </li><li>2 Parliamentarian British History parlamentarista mf </li><li>B Parliamentarian adjective <br>British History parlamentarista ‹party, forces, general› </li></ol></li></ul>
parliamentary	adjective <br>parlamentar ‹debate, procedure, candidate, democracy› 
parliamentary commissioner for administration	noun <br>British Comissário m  Parlamentar de Administração/ Comissária f  Parlamentar <br>de Administração 
parliamentary election	noun <br>eleições fpl  parlamentares 
parliamentary privilege	noun uncountable <br>privilégio m  parlamentar 
parliamentary secretary	noun <br>British secretário m  parlamentar/ secretária f  parlamentar 
parlor	@parlour British  | AmE ˈpɑrlər, BrE ˈpɑːlə | <br>noun <br>dated sala f  de visitas 
parmesan	noun uncountable <br>parmesão m <br><p-l>XXX before n Parmesan cheese </p-l>YYYqueijo parmesão 
parmesão	adjective <br>Cooking Parmesan <br><p-l>XXX queijo parmesão </p-l>YYYParmesan cheese 
parochial	adjective <ol><li>1 (of parish) paroquial </li><li>2 derogatory (narrow-minded) provinciano derogatory </li></ol>
parochial school	noun US <br>escola f  paroquial 
parodiar	<ul><li>A transitive verb <ol><li>1 (imitar de forma burlesca) to parody </li><li>2 (gozar) to send up </li><li>B intransitive verb <br>(gozar) to poke fun <br><p-l>XXX eles parodiaram comigo, mas não me ofendi </p-l>YYYthey poked fun at me, but I didn't get offended </li></ol></li></ul>
parody	<ul><li>A noun <br>uncountable  and countable paródia f </li><li>B transitive verb pt, pp parodied <br>parodiar ‹person, work, style, genre› </li></ul>
parole	<ul><li>A noun uncountable <br>liberdade f  condicional <br><p-l>XXX to be on parole </p-l>YYYestar em liberdade condicional <br><p-l>XXX to release sb on parole </p-l>YYYpôr alguém em liberdade condicional <br><p-l>XXX to break one's parole </p-l>YYYquebrar a condicional </li><li>B transitive verb <br>pôr em liberdade condicional ‹prisoner, offender› </li></ul>
parole board	noun <br>comissão f  de liberdade condicional 
parole officer	noun <br>US oficial mf  de justiça 
parolice	feminine noun <ol><li>1 (rusticidade) tackiness </li><li>2 (ato, dito ou hábito de parolo) tackiness </li><li>3 (tagarelice) chatter <br><p-l>XXX chega de parolice, toca a trabalhar! </p-l>YYYthat's enough chatter, it's time to work! </li></ol>
parolo	<ul><li>A parola masculine noun, feminine noun <br>(pessoa simplória) tacky person </li><li>B adjective <br>tacky </li></ul>
paroquial	adjective <ol><li>1 (referente à paróquia) parish (before n) </li><li>2 (referente ao pároco) of the parish priest </li></ol>
paroquiano	<ul><li>A paroquiana masculine noun, feminine noun <br>(da paróquia) parishioner </li><li>B adjective <br>parish (before n) </li></ul>
paroquiar	<ul><li>A transitive verb <br>to serve as priest to ‹freguesia› </li><li>B intransitive verb <br>to be the parish priest </li></ul>
paroxismo	masculine noun <ol><li>1 Medicine attack, bout </li><li>2 (exaltação máxima) paroxysm <br><p-l>XXX os paroxismos de raiva/ódio/terror </p-l>YYYparoxysms of anger/hate/terror </li><li>3 (estertor de moribundo) paroxysm </li></ol>
paroxysm	noun <ol><li>1 Medicine paroxismo m </li><li>2 (outburst) ataque m <br><p-l>XXX a paroxysm of rage/laughter </p-l>YYYum ataque or acesso de fúria/risos </li></ol>
paroxístico	adjective <br>Medicine paroxysmal ‹taquicardia, processo, reação› 
paroxítono	masculine noun <br>paroxytone 
parque	masculine noun <ol><li>1 (jardim público) park <br><p-l>XXX um parque de campismo </p-l>YYYa campsite <br><p-l>XXX um parque de diversões </p-l>YYYan amusement park </li><li>2 (reserva) park <br><p-l>XXX um parque natural/nacional </p-l>YYYa natural/national park </li><li>3 (área urbana pequena) playground <br><p-l>XXX levar as crianças ao parque infantil </p-l>YYYto take the children to the children's playground </li><li>4 (estacionamento de carros) um parque de estacionamento <br>a parking lot US, a car park British </li><li>5 (conjunto de viaturas de um país) vehicles on the road <br><p-l>XXX o parque automóvel português </p-l>YYYthe number of vehicles on the road in Portugal </li><li>6 Technology park, estate <br><p-l>XXX um parque industrial </p-l>YYYan industrial estate <br><p-l>XXX um parque eólico </p-l>YYYa wind farm </li></ol>
