abdas	<p-n>Pers</p-n> (Muslim) ritual ablution before prayer.<br><p-l>berabdas </p-l>to make one’s ritual ablution before prayer.
abdi	<p-n>A</p-n> <br><p-l>1 </p-l>(bought) slave. <br><p-l>2 </p-l>servant, (domestic) helper. – <i>dalam</i>/ <i>dalem</i> <p-n>Jv</p-n> royal servant in the <i>kraton</i>. – <i>dalem</i> <i>jajar</i> <p-n>Jv</p-n> the lowest rank in the <i>kraton</i> administrative structure. – <i>dalem</i> <i>putih</i> <p-n>Jv</p-n> royal servant in charge of religious affairs. –.<i>dalem</i>- <i>isme</i> serfdom. – <i>masyarakat</i> public servant. – <i>negara</i> servant of the state. – <i>rakyat</i> public servant.<br><p-l>berabdi </p-l>to be a servant (of ).<br><p-l>mengabdi </p-l>1 to serve, be in the service (of ). <i>Lions</i> <i>Club</i> <i>25</i> <i>tahun</i>\n~ <i>di</i> <i>Indonésia</i>. The Lions Club has served in Indonesia for 25 years. <br><p-l>2 </p-l>to be devoted (to). <br><p-l>3 </p-l>to live in s.o.’s house as a servant;\ns NGÉNGÉR.<br><p-l>abdi-<b>mengabdi</b> </p-l>master-servant/patron-client relationship.<br><p-l>mengabdikan </p-l>to make subservient to. ~ <i>diri</i> <i>di</i>/<i>kepada</i> to enter s.o.’s service/employment, devote o.s. to.<br><p-l>memperabdi </p-l>to make subservient to. <i>hubungan</i> ~ master-ser- vant/patron-client relationship.<br><p-l>pengabdi </p-l>dedicated servant. ~ <i>masyarakat</i> public servant.<br><p-l>pengabdian</p-l> <br><p-l>1 </p-l>service. <i>penuh</i> ~ dedicated. ~ <i>masyarakat</i> public service. <br><p-l>2 </p-l>servitude, submission, submissiveness. ~ <i>pekara</i>- <i>ngan</i>/<i>tanah</i> encumbrance with servitude. ~ <i>pekarangan</i> <i>jalan</i> right of way. <br><p-l>3 </p-l>devotion, dedication.
abdidalemisme	serfdom, servitude.
abdikasi	<p-n>D</p-n> abdication.
abdis	<p-n>D</p-n> abbess.
abdominal	(<i>D</i>/<i>E</i>) abdominal.
abdomén	(<i>D</i>/<i>E</i>) abdomen.
abdu	<p-n>A</p-n> (from <i>abdi</i>, element used in proper names connected with one of the 99 names given to <i>Allah</i>) <br><p-l>1 </p-l>slave. <br><p-l>2 </p-l>servant. <i>Abdullah</i> (the Servant of God); <i>Abdullah</i> <i>bin</i> <i>Abdulkadir</i> <i>Munsyi</i> the name of the pioneer of modern Malay literature in the early 19th century; born in Malacca of mixed Malay-Indian parentage; Malay language teacher (= <i>munsyi</i>) and clerk of Sir Thomas Stamford Raffles (1811–1816), the first and only British Governor General of the Netherlands Indies. <i>Abdul</i> <i>Ghafur</i>/<i>Gafar</i> (the Most Forgiving Servant); <i>Abdul</i> <i>Kadir</i> (the Most Powerful Servant); <i>Abdul</i> <i>Rahman</i> (the Compassionate Servant); <i>Tengku</i> <i>Abdul</i> <i>Rahman</i> (name of a former prime minister of Malaysia); <i>Abdul</i> <i>Rauf</i> and <i>Abdurrauf</i> (the Loving Servant.
abelur	 → HABLUR.
aberasi	<p-n>D</p-n> aberration, deviation.
abet	<p-n>J</p-n> <br><p-l>1 </p-l>appearance. <br><p-l>2 </p-l>behavior.<br><p-l>mengabet </p-l>to behave. <i>bisa</i>/<i>tahu</i> ~ to know how to make a good impression (on people).
ABG	<p-n>init</p-n> [anak baru gedé] adolescent, teenager.
abiad and abiaz	(<i>A</i> <i>cla</i>) white. <i>fizah</i> <i>yang</i> – white silver.
abian	<p-n>Bal</p-n> equal share of crop between owner and worker of the land.
abid I	<p-n>A</p-n> pious, godly, religious, devout.
abid II	<p-n>A</p-n> eternal, lasting, enduring.
abidin I	<p-n>A</p-n> ( plural of <i>abidun</i>) adorers of <i>Allah</i>, pious persons, the pious.
abidin II	(<i>joc</i> <i>acr</i>) [atas biaya dinas] at agency expense. <i>haji</i> – s.o. who makes the pilgrimage to Mecca at government expense.
abidun	<p-n>A</p-n> adorer of <i>Allah</i>, pious person.
Abil	<p-n>A</p-n> (the Biblical) Abel.
abilah	<p-n>Pers</p-n> smallpox. – <i>peringgi</i> syphilis.
abimana	 → ABAIMANA.
abintara	<p-n>cla</p-n> herald; → BINTARA.
abis I	(<i>J</i> <i>coq</i>) → HABIS I. <br><p-l>1 </p-l>well <p-n>interjection</p-n>. – <i>kalo</i> <i>ndak</i> <i>di</i> <i>sini</i>, <i>ya</i> <i>di</i> <i>mana</i> <i>lagi</i> <i>saya</i> <i>tinggal</i>. Well, if not here, where do I stay then? <br><p-l>2 </p-l>completely, totally. <i>édan</i> –. He’s completely crazy. <br><p-l>3 </p-l>spend (time), have been . . . ing. – <i>ngapain</i>? What have you been doing?<br><p-l>ngabisin </p-l>to use up, finish off; → MENGHABISKAN.<br><p-l>ngabis-<b>ngabisin</b> </p-l>to use s.t. all up.
abis II	<p-n>E</p-n> abyss.
abisal	(<i>E</i> geo) abyssal.
abisan	 → habis I 8.
abit	(<i>ob</i> <i>naut</i>) bitts.
abiturién	<p-n>D</p-n> high school graduate.
abiz	<p-n>BG</p-n> → ABIS I.
abjad	<p-n>A</p-n> <br><p-l>1 </p-l>alphabet (such as <i>alif</i>-<i>ba</i>-<i>ta</i>, etc.) <br><p-l>2 </p-l><p-n>ob</p-n> the sequence of Arabic characters, each of which has a numerical value (used for counting years or for divination), i.e., <i>alif</i> = 1, <i>ba</i> = 2, <i>kaf</i>\n= 100, etc. <i>menurut</i> <p-n>aturan</p-n> – alphabetical, in alphabetical order. – <i>Latin</i>/<i>Romawi</i> Latin alphabet.<br><p-l>berabjad</p-l> <br><p-l>1 </p-l>alphabetical. <br><p-l>2 </p-l>with an alphabet. <br><p-l>mengabjadkan </p-l>to alphabetize. <br><p-l>pengabjadan </p-l>alphabetization.
abjadiah	<p-n>A</p-n> alphabetical; → MENURUT <p-n>aturan</p-n> <i>abjad</i>.
ablag and ablak	(<i>J</i>/<i>Jv</i>) wide open; stand wide open.<br><p-l>seablak-<b>ablak</b> </p-l>very wide open; very large/extended/stretched out.<br><p-l>mengablak </p-l>[and <br><p-l>ngablak </p-l><p-n>coq</p-n>] to be wide open (of the mouth).\n<i>Mulutnya</i> ~. His mouth was wide open.<br><p-l>mengablakkan </p-l>[and <br><p-l>ngablakin </p-l>(<i>J</i> <i>coq</i>)] <br><p-l>1 </p-l>to open s.t. wide. <br><p-l>2 </p-l>to disclose, reveal. <br><p-l>3 </p-l>to tell (a story).
ablasi	<p-n>D</p-n> ablation.\n　<br><p-l>mengablasi </p-l>to ablate.
ablatif	(<i>D</i>/<i>E</i>) ablative.
ablaut	(<i>D</i>/E) ablaut.
ablur	 → HABLUR.
abnormal	(<i>D</i>/<i>E</i>) abnormal.<br><p-l>keabnormalan </p-l>abnormality; → ABNORMALITAS.
abnormalitas	<p-n>D</p-n> abnormality.
abnus	(<i>A</i> <i>cla</i>) ebony.
abodemén	 → abonemén.
aboi	<p-n>C</p-n> <br><p-l>1 </p-l>form of address to Chinese headman. <br><p-l>2 </p-l>Chinese village head of a <i>luak</i> (in West Kalimantan, etc.).
abolisi	(<i>D</i>/<i>E</i>) <br><p-l>1 </p-l>abolition. <br><p-l>2 </p-l>pardon (for crimes committed).<br><p-l>mengabolisi(<b>kan</b>) </p-l>to abolish.
abon	<p-n>Jv</p-n> a dish of fried meat reduced to fibers.<br><p-l>mengabon </p-l>to make this dish.
