#no sort
LEV 19:24	<p-n>@3. Mose  19:24</p-n>	Im vierten Jahr aber sollen alle ihre Früchte heilig sein zu einer Jubelfeier für den HERRN.  
LEV 19:25	<p-n>@3. Mose  19:25</p-n>	Und im fünften Jahre sollt ihr die Früchte essen, daß der Ertrag umso größer werde; ich, der HERR, bin euer Gott.  
LEV 19:26	<p-n>@3. Mose  19:26</p-n>	Ihr sollt nichts mit Blut essen, ihr sollt keine Wahrsagerei, keine Zeichendeuterei treiben.  
LEV 19:27	<p-n>@3. Mose  19:27</p-n>	Ihr sollt den Rand eures Haupthaares nicht rundum stutzen, auch sollst du den Rand deines Bartes nicht beschädigen.  
LEV 19:28	<p-n>@3. Mose  19:28</p-n>	Ihr sollt keine Einschnitte an eurem Leibe machen für eine [abgeschiedene] Seele und sollt euch nicht tätowieren! Ich bin der HERR.  
LEV 19:29	<p-n>@3. Mose  19:29</p-n>	Du sollst deine Tochter nicht preisgeben, sie zur Unzucht anzuhalten, damit das Land nicht Unzucht treibe und voller Laster werde!  
LEV 19:30	<p-n>@3. Mose  19:30</p-n>	Beobachtet meine Sabbattage und verehret mein Heiligtum! Ich bin der HERR.  
LEV 19:31	<p-n>@3. Mose  19:31</p-n>	Ihr sollt euch nicht an die Totenbeschwörer wenden, noch an die Zeichendeuter; ihr sollt sie nicht fragen, auf daß ihr durch sie nicht verunreinigt werdet; denn ich, der HERR, bin euer Gott.  
LEV 19:32	<p-n>@3. Mose  19:32</p-n>	Vor einem grauen Haupte sollst du aufstehen und alte Leute ehren und sollst dich fürchten vor deinem Gott; ich bin der HERR.  
LEV 19:33	<p-n>@3. Mose  19:33</p-n>	Wenn ein Fremdling bei dir in eurem Lande wohnen wird, so sollt ihr ihn nicht beleidigen.  
LEV 19:34	<p-n>@3. Mose  19:34</p-n>	Ihr sollt euch gegen den Fremdling, der sich bei euch aufhält, benehmen, als wäre er bei euch geboren, und du sollst ihn lieben wie dich selbst; denn ihr seid auch Fremdlinge in Ägypten gewesen. Ich, der HERR, bin euer Gott.  
LEV 19:35	<p-n>@3. Mose  19:35</p-n>	Ihr sollt euch nicht vergreifen weder am Recht noch an der Elle, noch am Gewicht, noch am Maß.  
LEV 19:36	<p-n>@3. Mose  19:36</p-n>	Rechte Waage, gutes Gewicht, richtige Scheffel und rechte Eimer sollt ihr haben! Ich, der HERR, bin euer Gott, der ich euch aus Ägypten geführt habe;  
LEV 19:37	<p-n>@3. Mose  19:37</p-n>	darum sollt ihr alle meine Satzungen und alle meine Rechte beobachten und tun; ich bin der HERR.   
LEV 20:1	<p-n>@3. Mose  20:1</p-n>	Und der HERR redete zu Mose und sprach: Sage den Kindern Israel:  
LEV 20:2	<p-n>@3. Mose  20:2</p-n>	Wer von den Kindern Israel oder den Fremdlingen, die in Israel wohnen, von seinem Samen dem Moloch gibt, der soll des Todes sterben; das Volk des Landes soll ihn steinigen!  
LEV 20:3	<p-n>@3. Mose  20:3</p-n>	Und ich will mein Angesicht wider einen solchen Menschen setzen und ihn mitten aus seinem Volk ausrotten, weil er dem Moloch von seinem Samen gegeben und mein Heiligtum verunreinigt und meinen heiligen Namen entheiligt hat.  
LEV 20:4	<p-n>@3. Mose  20:4</p-n>	Und wenn das Volk des Landes nachsichtig wäre gegen einen solchen Menschen, der von seinem Samen dem Moloch gegeben hat, daß es ihn nicht tötete,  
LEV 20:5	<p-n>@3. Mose  20:5</p-n>	so würde ich mein Angesicht wider jenen Menschen und wider sein Geschlecht richten und ihn und alle, die mit ihm dem Moloch nachgebuhlt haben, aus der Mitte ihres Volkes ausrotten.  
LEV 20:6	<p-n>@3. Mose  20:6</p-n>	Auch wenn sich eine Seele zu den Totenbeschwörern und Zeichendeutern wendet und ihnen nachbuhlt, so will ich mein Angesicht wider diese Seele richten und sie aus der Mitte ihres Volkes ausrotten.  
LEV 20:7	<p-n>@3. Mose  20:7</p-n>	Darum heiligt euch und seid heilig; denn ich, der HERR, bin euer Gott!  
LEV 20:8	<p-n>@3. Mose  20:8</p-n>	Darum beobachtet meine Satzungen und tut sie; denn ich, der HERR, bin es, der euch heiligt.  
LEV 20:9	<p-n>@3. Mose  20:9</p-n>	Wer seinem Vater oder seiner Mutter flucht, der soll unbedingt sterben! Sein Blut sei auf ihm; er hat seinem Vater oder seiner Mutter geflucht.  
LEV 20:10	<p-n>@3. Mose  20:10</p-n>	Wenn einer die Ehe bricht mit einem Eheweib, so sollen beide unbedingt sterben, der Ehebrecher und die Ehebrecherin, weil er mit seines Nächsten Weib die Ehe gebrochen hat.  
LEV 20:11	<p-n>@3. Mose  20:11</p-n>	Wer bei seines Vaters Weibe schläft, der hat die Scham seines Vaters entblößt; sie sollen beide unbedingt sterben; ihr Blut sei auf ihnen.  
LEV 20:12	<p-n>@3. Mose  20:12</p-n>	Wenn jemand bei seiner Sohnsfrau schläft, so sollen sie beide unbedingt sterben; sie haben einen Greuel begangen; ihr Blut sei auf ihnen!  
LEV 20:13	<p-n>@3. Mose  20:13</p-n>	Wenn ein Mann bei einer männlichen Person schläft, als wäre es ein Weib, die haben beide einen Greuel getan, und sie sollen unbedingt sterben; ihr Blut sei auf ihnen!  
LEV 20:14	<p-n>@3. Mose  20:14</p-n>	Wenn jemand ein Weib nimmt und ihre Mutter dazu, so ist das eine Schandtat; man soll ihn samt den beiden Weibern mit Feuer verbrennen, damit keine solche Schandtat unter euch sei.  
LEV 20:15	<p-n>@3. Mose  20:15</p-n>	Wenn ein Mann seinen Samen an ein Vieh abgibt, so soll er unbedingt sterben, und das Vieh soll man erwürgen.  
LEV 20:16	<p-n>@3. Mose  20:16</p-n>	Kommt ein Weib einem Vieh zu nahe, um sich mit ihm zu vermischen, so sollst du sie töten und das Vieh auch; sie sollen unbedingt sterben; ihr Blut sei auf ihnen!  
LEV 20:17	<p-n>@3. Mose  20:17</p-n>	Wenn jemand seine Schwester nimmt, seines Vaters Tochter oder seiner Mutter Tochter, und ihre Scham beschaut und sie wieder seine Scham, so ist das eine Blutschande. Sie sollen ausgerottet werden vor den Augen ihres Volkes. Er hat seiner Schwester Scham entblößt, so trage er seine Schuld.  
LEV 20:18	<p-n>@3. Mose  20:18</p-n>	Wenn ein Mann bei einer Frau liegt zur Zeit ihrer Krankheit und ihre Scham entblößt und ihren Brunnen aufdeckt, und sie den Brunnen ihres Blutes entblößt, so sollen beide aus ihrem Volk ausgerottet werden!  
LEV 20:19	<p-n>@3. Mose  20:19</p-n>	Die Scham deiner Mutter Schwester und die Scham deines Vaters Schwester sollst du nicht entblößen; denn wer dies tut, hat seine Blutsverwandten entblößt; sie sollen ihre Schuld tragen!  
LEV 20:20	<p-n>@3. Mose  20:20</p-n>	Wenn jemand bei der Frau des Bruders seines Vaters schläft, der hat die Scham seines Oheims entblößt; sie sollen ihre Sünde tragen, sie sollen kinderlos sterben!  
LEV 20:21	<p-n>@3. Mose  20:21</p-n>	Wenn jemand seines Bruders Weib nimmt, so ist das eine schändliche Tat; sie sollen kinderlos bleiben, weil er die Scham seines Bruders entblößt hat.  
LEV 20:22	<p-n>@3. Mose  20:22</p-n>	So beobachtet nun alle meine Satzungen und meine Rechte und tut sie, damit euch nicht das Land ausspeie, wohin ich euch führe, daß ihr darinnen wohnet!  
LEV 20:23	<p-n>@3. Mose  20:23</p-n>	Und wandelt nicht nach den Satzungen der Heiden, die ich vor euch her ausstoßen werde. Denn solches alles haben sie getan, daß mir vor ihnen ekelte.  
LEV 20:24	<p-n>@3. Mose  20:24</p-n>	Euch aber habe ich gesagt: Ihr sollt ihr Land erblich besitzen; denn ich will euch dasselbe zum Erbe geben, ein Land, das von Milch und Honig fließt. Ich, der HERR, bin euer Gott, der ich euch von den Völkern abgesondert habe.  
LEV 20:25	<p-n>@3. Mose  20:25</p-n>	So sollt nun auch ihr das reine Vieh vom unreinen absondern und die unreinen Vögel von den reinen, und sollt eure Seelen nicht verabscheuungswürdig machen durch Vieh, Vögel und alles, was auf Erden kriecht, was ich euch als unrein abgesondert habe;  
LEV 20:26	<p-n>@3. Mose  20:26</p-n>	sondern ihr sollt mir heilig sein, denn ich, der HERR, bin heilig, der ich euch von den Völkern abgesondert habe, daß ihr mir angehöret!  
LEV 20:27	<p-n>@3. Mose  20:27</p-n>	Wenn in einem Mann oder einem Weib ein Totenbeschwörer oder Wahrsagergeist steckt, so sollen sie unbedingt sterben. Man soll sie steinigen, ihr Blut sei auf ihnen!   
LEV 21:1	<p-n>@3. Mose  21:1</p-n>	Und der HERR sprach zu Mose: Sage den Priestern, Aarons Söhnen, und sprich zu ihnen: Ein Priester soll sich an keinem Toten seines Volkes verunreinigen,  
LEV 21:2	<p-n>@3. Mose  21:2</p-n>	außer an seinem nächsten Blutsverwandten, der ihm zugehört; an seiner Mutter, an seinem Vater, an seinem Sohn, an seiner Tochter, an seinem Bruder,  
LEV 21:3	<p-n>@3. Mose  21:3</p-n>	und an seiner Schwester, die noch eine Jungfrau ist, die ihm nahesteht, weil sie noch keines Mannes Weib gewesen ist, an dieser mag er sich verunreinigen.  
LEV 21:4	<p-n>@3. Mose  21:4</p-n>	Es soll sich der Vorgesetzte an seinem Volk nicht verunreinigen, damit er sich nicht entweihe.  
LEV 21:5	<p-n>@3. Mose  21:5</p-n>	Sie sollen sich keine Glatze scheren auf ihrem Haupt, noch die Enden ihres Bartes stutzen, noch an ihrem Leibe Einschnitte machen.  
LEV 21:6	<p-n>@3. Mose  21:6</p-n>	Sie sollen ihrem Gott heilig sein und den Namen ihres Gottes nicht entheiligen; denn sie opfern des HERRN Feueropfer, das Brot ihres Gottes, darum sollen sie heilig sein.  
LEV 21:7	<p-n>@3. Mose  21:7</p-n>	Sie sollen keine Hure zum Weibe nehmen, auch keine Entehrte, noch eine, die von ihrem Mann verstoßen ist; denn der Priester ist heilig seinem Gott.  
LEV 21:8	<p-n>@3. Mose  21:8</p-n>	Darum sollst du ihn für heilig halten; denn er opfert das Brot deines Gottes. Er soll dir heilig sein; denn heilig bin ich, der HERR, der euch heiligt.  
LEV 21:9	<p-n>@3. Mose  21:9</p-n>	Wenn eines Priesters Tochter sich durch Unzucht entweiht, so hat sie ihren Vater entweiht; man soll sie mit Feuer verbrennen!  
LEV 21:10	<p-n>@3. Mose  21:10</p-n>	Wer aber Hoherpriester ist unter seinen Brüdern, auf dessen Haupt das Salböl gegossen worden, und dem man die Hand gefüllt hat bei der Einkleidung, der soll sein Haupt nicht entblößen und seine Kleider nicht zerreißen.  
LEV 21:11	<p-n>@3. Mose  21:11</p-n>	Er soll auch zu keinem Toten kommen und soll sich weder an seinem Vater noch an seiner Mutter verunreinigen.  
LEV 21:12	<p-n>@3. Mose  21:12</p-n>	Er soll das Heiligtum nicht verlassen, noch das Heiligtum seines Gottes entheiligen; denn die Weihe des Salböls seines Gottes ist auf ihm; ich bin der HERR.  
LEV 21:13	<p-n>@3. Mose  21:13</p-n>	Er soll eine Jungfrau zum Weibe nehmen.  
LEV 21:14	<p-n>@3. Mose  21:14</p-n>	Eine Witwe, oder eine Verstoßene, oder eine Entehrte, oder eine Hure soll er nicht nehmen; sondern eine Jungfrau aus seinem Volk soll er zum Weibe nehmen,  
LEV 21:15	<p-n>@3. Mose  21:15</p-n>	daß er seinen Samen nicht entweihe unter seinem Volk. Denn ich, der HERR, heilige ihn.  
LEV 21:16	<p-n>@3. Mose  21:16</p-n>	Und der HERR redete zu Mose und sprach:  
LEV 21:17	<p-n>@3. Mose  21:17</p-n>	Rede mit Aaron und sprich: Sollte jemand von deinen Nachkommen in ihren künftigen Geschlechtern mit irgend einem Gebrechen behaftet sein, so darf er sich nicht herzunahen, das Brot seines Gottes darzubringen.  
LEV 21:18	<p-n>@3. Mose  21:18</p-n>	Nein, keiner, an dem ein Gebrechen ist, soll sich herzunahen, er sei blind oder lahm oder verstümmelt, oder habe ein zu langes Glied;  
LEV 21:19	<p-n>@3. Mose  21:19</p-n>	auch keiner, der einen gebrochenen Fuß oder eine gebrochene Hand hat,  
LEV 21:20	<p-n>@3. Mose  21:20</p-n>	oder der bucklig oder schwindsüchtig ist, oder der einen Fleck auf seinem Auge hat, oder die Krätze oder Flechten oder einen Hodenbruch.  
LEV 21:21	<p-n>@3. Mose  21:21</p-n>	Wer nun von dem Samen Aarons, des Priesters, ein solches Gebrechen an sich hat, der soll sich nicht herzunahen, die Feueropfer des HERRN darzubringen; er hat ein Gebrechen; darum soll er das Brot seines Gottes nicht herzubringen, daß er es opfere.  
LEV 21:22	<p-n>@3. Mose  21:22</p-n>	Doch darf er das Brot seines Gottes essen, vom Heiligen und vom Allerheiligsten.  
LEV 21:23	<p-n>@3. Mose  21:23</p-n>	Aber zum Vorhang soll er nicht kommen, noch sich dem Altar nahen, weil er ein Gebrechen hat, daß er mein Heiligtum nicht entweihe; denn ich, der HERR, heilige sie.  
LEV 21:24	<p-n>@3. Mose  21:24</p-n>	Und Mose sagte es Aaron und seinen Söhnen und allen Kindern Israel.   
LEV 22:1	<p-n>@3. Mose  22:1</p-n>	Und der HERR redete zu Mose und sprach: Sage Aaron und seinen Söhnen,  
LEV 22:2	<p-n>@3. Mose  22:2</p-n>	daß sie sich enthalten sollen der heiligen Gaben der Kinder Israel, und meinen heiligen Namen nicht entweihen, in den Dingen, die sie mir geheiligt haben, mir, dem HERRN.  
LEV 22:3	<p-n>@3. Mose  22:3</p-n>	So sage ihnen nun: Wer von euren Nachkommen, der von eurem Samen ist, sich dem Heiligen naht, das die Kinder Israel dem HERRN geheiligt haben, während er eine Unreinigkeit an sich hat; eine solche Seele soll von meinem Angesicht ausgerottet werden; ich bin der HERR!  
LEV 22:4	<p-n>@3. Mose  22:4</p-n>	Ist irgend jemand vom Samen Aarons aussätzig oder mit einem Ausfluß behaftet, so soll er von dem Heiligen nicht essen, bis er rein wird. Und wer etwas durch einen Entseelten Verunreinigtes anrührt, oder wem der Same entgeht,  
LEV 22:5	<p-n>@3. Mose  22:5</p-n>	oder wer irgend ein Gewürm anrührt, durch das man unrein wird, oder einen Menschen, an dem man sich verunreinigen kann wegen irgend etwas, was ihn unrein macht;  
LEV 22:6	<p-n>@3. Mose  22:6</p-n>	welche Seele solches anrührt, die ist unrein bis zum Abend und soll nicht von dem Heiligen essen, sondern soll zuvor ihren Leib mit Wasser baden.  
LEV 22:7	<p-n>@3. Mose  22:7</p-n>	Und wenn die Sonne untergegangen und sie rein geworden ist, dann mag sie von dem Heiligen essen; denn es ist ihre Speise.  
LEV 22:8	<p-n>@3. Mose  22:8</p-n>	Kein Aas noch Zerrissenes soll er essen, daß er nicht unrein davon werde; ich bin der HERR!  
LEV 22:9	<p-n>@3. Mose  22:9</p-n>	Sie sollen meine Anordnungen beobachten, damit sie nicht Sünde auf sich laden und daran sterben, wenn sie dieselben entheiligen; denn ich, der HERR, heilige sie.  
LEV 22:10	<p-n>@3. Mose  22:10</p-n>	Kein Fremdling soll von dem Heiligen essen.  
LEV 22:11	<p-n>@3. Mose  22:11</p-n>	Wenn aber der Priester eine Seele um Geld erkauft, so mag dieselbe davon essen. Und wer ihm in seinem Hause geboren wird, der mag auch von seinem Brot essen.  
LEV 22:12	<p-n>@3. Mose  22:12</p-n>	Wenn aber des Priesters Tochter eines Fremdlings Weib wird, soll sie nicht von dem Hebopfer des Heiligen essen.  
LEV 22:13	<p-n>@3. Mose  22:13</p-n>	Wird aber des Priesters Tochter eine Witwe oder eine Verstoßene und hat keine Kinder und kommt wieder in ihres Vaters Haus, wie in ihrer Jugend, so soll sie von ihres Vaters Brot essen. Aber kein Fremdling soll davon essen.  
LEV 22:14	<p-n>@3. Mose  22:14</p-n>	Wer sonst aber aus Versehen von dem Geheiligten ißt, der soll den fünften Teil dazutun und es dem Priester mit dem Geheiligten geben,  
LEV 22:15	<p-n>@3. Mose  22:15</p-n>	damit sie nicht die heiligen Gaben der Kinder Israel entheiligen, welche diese dem HERRN heben,  
LEV 22:16	<p-n>@3. Mose  22:16</p-n>	daß sie sich nicht mit Missetat und Schuld beladen, wenn sie ihr Geheiligtes essen; denn ich, der HERR, heilige sie.  
LEV 22:17	<p-n>@3. Mose  22:17</p-n>	Weiter redete der HERR zu Mose und sprach:  
LEV 22:18	<p-n>@3. Mose  22:18</p-n>	Sage Aaron und seinen Söhnen und allen Kindern Israel und sprich zu ihnen: Wer vom Hause Israel oder von den Fremdlingen in Israel sein Opfer bringen will (sei es, daß sie es nach ihren Gelübden oder ganz freiwillig dem HERRN zum Brandopfer darbringen wollen),  
LEV 22:19	<p-n>@3. Mose  22:19</p-n>	der opfere, damit es euch angenehm mache, ein tadelloses Männlein, von den Rindern, Lämmern oder Ziegen.  
LEV 22:20	<p-n>@3. Mose  22:20</p-n>	Nichts Gebrechliches sollt ihr opfern; denn es würde euch nicht angenehm machen.  
LEV 22:21	<p-n>@3. Mose  22:21</p-n>	Und wenn jemand dem HERRN ein Dankopfer bringen will, sei es zur Erfüllung eines Gelübdes oder als freiwillige Gabe, von Rindern oder Schafen, so soll es tadellos sein, zum Wohlgefallen. Es soll keinen Mangel haben.  
LEV 22:22	<p-n>@3. Mose  22:22</p-n>	Ein Blindes oder Gebrochenes oder Verwundetes oder eines, das Geschwüre oder die Krätze oder Flechten hat, sollt ihr dem HERRN nicht opfern und davon kein Feueropfer bringen auf den Altar des HERRN.  
LEV 22:23	<p-n>@3. Mose  22:23</p-n>	Einen Ochsen, oder ein Schaf, das zu lange oder zu kurze Glieder hat, magst du als freiwillige Gabe opfern, aber zur Erfüllung eines Gelübdes wäre es nicht angenehm.  
LEV 22:24	<p-n>@3. Mose  22:24</p-n>	Ihr sollt auch dem HERRN kein Tier darbringen, welches verschnittene oder zerdrückte oder abgerissene oder abgeschnittene Hoden hat, und sollt in eurem Lande solches gar nicht tun.  
LEV 22:25	<p-n>@3. Mose  22:25</p-n>	Auch von der Hand eines Fremdlings sollt ihr deren keines eurem Gott zur Speise darbringen; denn sie haben eine Verstümmelung, einen Makel an sich; sie werden euch nicht gnädig aufgenommen.  
LEV 22:26	<p-n>@3. Mose  22:26</p-n>	Und der HERR redete zu Mose und sprach:  
LEV 22:27	<p-n>@3. Mose  22:27</p-n>	Wenn ein Rind oder ein Lamm, oder eine Ziege geboren wird, so soll es sieben Tage lang bei seiner Mutter bleiben; erst vom achten Tag an ist es angenehm zum Feueropfer für den HERRN.  
LEV 22:28	<p-n>@3. Mose  22:28</p-n>	Ihr sollt aber kein Rind noch Schaf zugleich mit seinem Jungen am gleichen Tag schächten.  
LEV 22:29	<p-n>@3. Mose  22:29</p-n>	Wenn ihr aber dem HERRN ein Lobopfer darbringen wollt, so opfert es zu eurer Begnadigung.  
LEV 22:30	<p-n>@3. Mose  22:30</p-n>	Ihr sollt es am gleichen Tag essen und nichts übriglassen bis zum Morgen; ich bin der HERR.  
LEV 22:31	<p-n>@3. Mose  22:31</p-n>	Ihr aber sollt meine Gebote beobachten und sie tun; ich bin der HERR!  
LEV 22:32	<p-n>@3. Mose  22:32</p-n>	Und ihr sollt meinen heiligen Namen nicht entheiligen; sondern ich will geheiligt werden unter den Kindern Israel, ich, der HERR, der euch heiligt;  
LEV 22:33	<p-n>@3. Mose  22:33</p-n>	der ich euch aus dem Lande Ägypten geführt habe, um euer Gott zu sein, ich, der HERR.   
LEV 23:1	<p-n>@3. Mose  23:1</p-n>	Und der HERR redete zu Mose und sprach: Sage den Kindern Israel und sprich zu ihnen:  
LEV 23:2	<p-n>@3. Mose  23:2</p-n>	Das sind die Feste des HERRN, da ihr heilige Festversammlungen einberufen sollt; das sind meine Feste:  
LEV 23:3	<p-n>@3. Mose  23:3</p-n>	Sechs Tage lang soll man arbeiten, aber am siebenten Tag ist die Sabbatfeier, eine heilige Versammlung; da sollt ihr kein Werk tun; denn es ist der Sabbat des HERRN, in allen euren Wohnorten.  
LEV 23:4	<p-n>@3. Mose  23:4</p-n>	Das sind aber die Feste des HERRN, die heiligen Versammlungen, die ihr zu festgesetzten Zeiten einberufen sollt:  
LEV 23:5	<p-n>@3. Mose  23:5</p-n>	Am vierzehnten Tag des ersten Monats, gegen Abend, ist das Passah des HERRN.  
LEV 23:6	<p-n>@3. Mose  23:6</p-n>	Und am fünfzehnten Tage desselben Monats ist das Fest der ungesäuerten Brote des HERRN. Da sollt ihr sieben Tage lang ungesäuertes Brot essen.  
LEV 23:7	<p-n>@3. Mose  23:7</p-n>	Am ersten Tag sollt ihr eine heilige Versammlung halten;  
LEV 23:8	<p-n>@3. Mose  23:8</p-n>	da sollt ihr keine Werktagsarbeit verrichten und ihr sollt dem HERRN sieben Tage lang Feueropfer darbringen. Am siebenten Tag ist heilige Versammlung, da sollt ihr keine Werktagsarbeit verrichten.  
