 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
bucakolwa	 drunkeness, e.g. *Bucakolwa bwatuleba.* = Drunkeness ruins us.
buce	scarcity, e.g. *Buce bwamapopwe bwaleta nzala mpati kubantu.* = The scarcity of maize has brought a great hunger to the people. Also *busyoonto*.
bucece	infancy, e.g. *Mwana wajata mulilo akaambo kabucece.* = The child grabbed fire because of being a child. *Mbucece bwacisi.* It is the infancy of the nation.
	be spoilt, e.g. *Ooyu mwana ulaa bucece.* = This child is spoilt. Also *macece*.
bucedo	 the dawn, e.g. *Mukombwe ulalila lyoonse kubucedo.* The cock always crows at the dawn.
bucekulu	old age, e.g. *Muntu wasika abucekulu ulayanda kulaya bana.* = A person who has arrived at old age wants to instruct children. Also *bucembele*.
bucembele	 old age, e.g. *Bucembele kanji-kanji buletela kuciswa-ciswa.* = Old age often brings continual sickness.
bucembelegundu	healthy old age, e.g. *Kaindi bantu bakali kusika aziimo zyabucembelegundu.* In the past people were reaching the state of healthy old age.
bucende	bravery, e.g. *Ooyu musa-*
nkwa ulibwenye bucende = This boy looks at himself as brave Also busicamba	genitals, e.g. Ooyu moombe ndaliku-yanda kumusuwa *bucende*. = I want this calf to be preserved as a bull.
bucenjezu	cunning, e.g. *Bucenjezu bwamwana oyu buliindilide*. = The cunning of this child is just too much. Also luusweswe
bucesi	a sharp edge, e.g. *Bucesi bwacipeni eci bwaindilila*. = The sharpness of this knife is too much. *Bucesi bwacipeni eci bulijisi ntenda kubana*. = The sharpness of this knife is dangerous for children. Also bubemba.
bucete	poverty, e.g. *Kuli bucete mumunzi mwa Chaavwa*. = There is poverty in the village of Chaavwa. *Bucete buletela mapenzi kumuntu*. = Poverty brings suffering to a person.
buci	honey, e.g. *Buci bulanona kulisya acinkwa*. = Honey is delicious to eat with bread. *Bwalokela akalezu buci sunu!* = Honey has fallen on the beard to-day, (said when one has been lucky) Insolo ilabatondezya basimpongo basimpikwa balondola *buci* muvwu. Balo basiņombe basimpikwa babaita kuti 'tulumbuvwu' akaambo kakubikka *buci* muvwu. Impasi, tuntowe atulumbuvwu mbibauka batalumi basimpongo nobalya *buci* bwabo. Tumputu ntuntowe, ntuuka tuniini, tulondola *tuci* tuniini mukapako. = The honey-bird shows the goatherds the insects which make honey in the ground. The goatherds call these insects *tulumbuvwu* because of putting honey in the earth. (Impasi, tuntowe and *tulumbuvwu* are the honey-making insects which do not sting the goatherds when they eat their honey.)
bucinda	foolishness, (Ila) e.g. *Bucinda bwamwana oyu nkutayanda kuya kucikolo*. = The stupidity of this child is not wanting to go to school. Kuyanda zyankwela amucizyi mbucinda. = To wish to have sexual love with one's sister is foolishness. Also bufwubafwuba.
bucingwindi	disobedience, e.g. *Oobu bucingwindi bana mbubalipa mbubwabajaya alimwi mbubwatuleta ansi tobazyali*. = This refusal to listen which the children give to themselves is what kills them and brings us elders down.
bucwencwe	a flock of finches, birds that eat maize, e.g. *Bucwencwe bwaamana maila*. = A flock of finches have finished the millet.
budakwa	addiction to bad behaviour, e.g. *Bamwi bailya misamu ibaletela budakwa*. = Some eat traditional medicines which brings them the habit of bad behaviour.
budima	Nzizyano naa zisobano zyabantu bakku Zambezi zyalo zicitwa mumadilwe kwiita buntibe mizimo yabaabo bafwide. Zilacitwa kubusena bwamufwu kwainda mwaka omwe kazikkidwe. Meja, ngoma zilabelesegwa kakuli kazuba akainda amasumo akali kubelesegwa muziyanze eezi. Ngoma zyabudima zyalo ziitwa biyo kuti budima mumwi mumasena ziitwa kuti buntibe.
	set of drums used by Valley Tonga, or the dance itself in which these drums are used e.g. Bantu baku Zambezi bazyana *budima* mumadilwe. = The people of the Zambezi river dance the *budima* at funerals. (Names of *budima* drums: muliliko, ntakuntanda, muntundu, nkwii, camujanja, mpininga a kumbwi.) *Budima mbutwakali kuzyana mazuba ayo ngutwakakomena-komena, tiibwakali kucita malila-lila pe. Bwakalaa mazuba ngubwakali kuumwa*. = The *budima* drums which we danced to in those days when we were growing up were not played at any time. They had special days on which they were beaten. Also *badima*
budodoodo	assortment of delicious foods, e.g. Basankwa bamumunzi bakali kuyandisya kuunka kuya kulya budodoodo bwakali kujikwa kumantoombwa. = The boys of the village used to like to go and eat nice food which was cooked at the mantoombwa.
budokole	mark, as left by scratching, e.g. Ndabona budokole bwakwale mundongwe. I have seen the mark of a partridge in the groundnuts.
budumbu	a type of soft grass or reed, e.g. Inombe zicela matete abudumbu kumbali a Zambezi. = Cattle feed on the budumbu reeds near the Zambezi river. Also matumbo.
budundumuntule	domination, e.g. Nkaambo nzi ncolipa budundumuntule mumunzi? = Why do you give yourself the power to dominate in the village?
budwela-dwela	unorganized, e.g. Milimo yangu mebo tiili yabudwela-dwela, ilisweene, ilisimpide, ilamaninina. = My works are not disorganized, they come together, they become complete, they finish. Also -waya-waya
bufwafwa	a skeleton, e.g. Ndajana bufwafwa bwacula munanda. = I have found the skeleton of a frog in the house. Also bufwuwa-fwuwa.
bufwefwelenga	scraps, tiny pieces, e.g. Inkuku ndazipa bufwefwelenga bwansima. = I have given chickens scraps of nsima. Sunu aka kabwe bulaba bufwefwelenga ndakapwaila amusamu wamubanga. Today this little stone will become tiny pieces when I smash it against the mubanga tree.
bufwi	marital jealousy, e.g. Bamakaintu abamaalumi bamwi balijisi bufwi. = Some husbands and wives are jealous in their marriages. Mwanalumi ooyu ujisi bufwi bujaya. This husband is possessed by a deadly jealousy. Also buzuba.
bufwiifwi	width, e.g. Bufwiifwi bwantalisyo yananda tabuluzi pe. = The width of the foundations of the house is not right. Also bwanza.
bufwilu-fwilu	a collection of things, e.g. Sikansondo ulayanda kubwezelela bufwilu-fwilu. A mad person likes gathering a collection of things. Notwaamba zilengwa zyabufwilu-fwilu, tumpangalika, nkokuti tuntu toonse tucitwa, tatutwaambi tulatuleka. When we talk about traditional collections of things, artifacts, that is to say everything that is made, we do not say we will leave them. Mudaala wakatalika koongelezya mwana oyu kwiinda mukumuulila tuswiti-switi atumwi tuntu twabufwilu-fwilu mbuli tumbuwa amakkukkisi. = The old man began to entice the child by buying her sweets and a variety of other things like buns and biscuits.
	hidden food, e.g. Bakaintu bayobweda mulumi wabo bufwilu-fwilu. = The woman has kept hidden food for her husband.
bufwina	a little knot used in a running noose, e.g. Basankwa babamba kale bufwina amikkwilo yabo. = The boys have already made running knots on their cattle-whips.
bufwizu	the noose itself of the kabulindi trap, pl. mafwizu, a slip knot, a noose, a loop, e.g. Kobamba bufwizu kumukkwilo. = Make a knot on the whip.
bufwopi	the stringy envelope of pumpkin seeds, pl. mafwopi. Also bufwunzu.
bufwubafwuba	foolishness, e.g. Bufwubafwuba bwangu! Ndaluba saka lyakuya kubwezela mapopwe. = My foolishness! I have forgotten the sack for taking the maize.
bufwule-bubi	natural thinness, e.g. Ooyu mwana ngwabufwule-bubi. child is thin by nature.
bufwule-fwule	delicious food, e.g. Mulaa coolwe nomulya bufwule-fwule. = You are lucky you who eat delicious food. Basankwa bakali kuunka kumantoombwa kuti bakabone mbobajika bufwule-fwule This basimbi. = The boys used to go to the traditional training place to see how the girls cooked delicious food.
bufwulusi	emaciation, e.g. Bamwi bailya misamu ibaletela *bufwulusi*. = Some take traditional medicines which make them thin and weak.
bufwumba	animal manure, pl. ma*fwumba*, e.g. *Bufwumba bwampongo mbubotu kapati kucisyu camumbewu.* = Goat manure is good for garden vegetables. *Inombe mpamunya mpiiwona ilakonzya kuti isiye mafwumba.* = A cow can leave dung there at the very place where it sleeps.
bufwumo	a charm to protect from lions.
bufwumpi	robbery, e.g. *Bufwumpi bulaatila kufwumbwa cintu cabonwa muliso.* = Robbery takes by force anything which is seen by the eye.
bufwunzu	stringy envelope of pumpkin seeds, pl. *mafwunzu*, e.g. *Kozwisya bufwunzu bwamyungu kutegwa ujike kabotu.* = Remove the outer casing of the pumpkin seeds so that you cook (them) properly. Also *bufwopi*, pl. *mafwopi*.
bufwuwafwuwa	 collection of bones, e.g. *Ndajana bufwuwa-fwuwa bwanzoka mubwina.* = I found a collection of snakebones in a hole. Also *buyoka*.
bufwuzi	 smithery, the work of the blacksmith, e.g. *Mbobwakamanina buyo buvwimi, abwalo bufwuzi bwakatalika kuya buceya mucisi.* When hunting disappeared, the work of the blacksmith began to lessen in the land.
buga	glue made from tendons, e.g. *Basankwa babamba buga bakuteya tuyuni.* The boys are making glue for trapping small birds. Also *bulimbo*.
bugeza	 strong Valley beer, e.g. *Tuya kukunywa bugeza.* = We are going to drink strong beer. Also *bukeza*.
buguyula	 small ticks, e.g. *Nindakali kujwa bwizu, ndakabumbwa buguyula.* = When I was cutting grass, small ticks stuck to my body. *bugwagwa-bugwagwa* variety of paths, as made by cattle on their way to water, e.g. *Inzila iya kumulonga tailibonyi kabotu akaambo kabugwagwa-bugwagwa bwanjombe.* The path to the river is not clear because of the multitude of various cattle tracks. Also *-bukondo-kondo*.
bugwaligwali	 assorted ornaments, e.g. *Kamwale kasamikwa mpande kumutwe, malanda kumaulu, inkonokono, maingankwa alimwi abugwaligwali bumwi.* The initiate should be dressed with an *mpande* shell on the head, palm-leaves on her legs, armlets, strings of beads across her chest and other assorted ornaments.
bugwatiika	a cluster of particles, e.g. *Amubuumpe bugwatiika obo buli mucilindi.* Burn that heap of things which is in the pit. Also *bugwati-gwati*
bugwebo	 a bargain, e.g. *Aaba bantu baambaula zyabugwebo.* These people are bargaining. *Twakakosola bugwebo.* = We "cut" a bargain. (In the past when people agreed on a bargain, they cut a piece of grass in two.) Also *bukwebo*.
bujabuya	 a patch of thorny bush, e.g. *Bantu batasami mabbusu balakatazigwa kweenda mubujabuya.* People who do not wear shoes are troubled in walking in a patch of thorny bush.
buji	honey, e.g. *Buji buli mumpako omu mbunji.* = The honey which is in that hole is plentiful. Also *buci*.
bujwanyina	 a joking relationship among clans which permits them to say anything they want to one another without the other claiming offence. *Kusaanguna atwiiye ijwi eli lyabujwanyina. Kujwana nkokuti kutukilana, kapati kusabauzyanya; aboobo bujwanyina nkokuti mikowa njomusabauzyanya akutukilana* mubuseke. = Firstly let us understand the meaning of the word *bujwanyina*. *Kujwana* means to insult one another, especially to ridicule or make fun of another in jest. And so *bujwanyina* occurs when different clan-members ridicule and insult one another in jest.
bukaano	a ceremonial-axe, e.g. Syaanasulwe wakasama nsuku, kwambe, munkonde, masangusangu munsafwu, tubbesu a *bukaano*. = The hare wore headdress, kwambe, a necklace, leg rattles, a stringed dancing skirt, and a ceremonial axe. *Wakabweza bukaano bwakwe akweenda kukusyaba musimbi mubotu*. = He took his ceremonial axe and went to make marriage arrangments concerning the beautiful girl. Also bukano.
bukaintu	womanhood, e.g. *Bukaintu buletela mapenzi*. = Womanhood brings sufferings.
	women's affairs, e.g. Bakakkala kutegwa baambaule *twabukaintu*. = They sat down so that they could talk about women's affairs.
	a woman's genitals, e.g. *Ooyu musimbi ulaa kacisa kubukaintu ncateendi kabotu*. = This girl had a sore on her genitals that is why she does not walk normally.
bukalamba	old age, senility, e.g. *Bukalamba bupa kuciswa-ciswa*. = Old age brings sickness. Also bucembele.
bukali	anger, ferocity, courage, e.g. *Bukali bwabanyama bapati bulaindilila kwiinda mukwiinzigwa antobolo*. = The ferocity of large game is increased when they have been grazed by a gun.
	effectiveness as a medicine, e.g. *Oobu mbobuzuba mbwaakazyiba kuti misamu yoonse njibakali kumupa tiiyakajisi bukali bwakuponya*. = This was the day when he realized that all the medicines which they had given him were ineffective in healing.
bukamba	*mwana wabukamba* = the first-born child, (Also busomona, e.g. *Mwana wabusomona ulayandwa kapati*. = The first-born is loved very much.)
bukamwale	initiated female state, e.g. *Bukamwale bupa kubaa mulemyo*. = The female initiated state gives the responsibility of showing respect. i.e. Women are respected and have to give respect when they have passed through initiation.
bukanazi	affability, talkativeness, e.g. *Bukanazi bwakwe bumupa kutabeleka kabotu*. His talkativeness prevents him from working well.
bukande	strong beer, e.g. Kwesu kuli *bukande*. = At our village there is strong beer. *Bukande oobu mbubotu*. = This beer is good. *bukande bwamapwaila* = strong beer made for the *mweesyo* ceremony.
bukandi	strong beer Also bukande.
bukandu	cowardice, desire to preserve one's life, e.g. *Mweemba wakajoka kukuvwima akaambo kabukandu*. = Mweemba returned from hunting because of cowardice. Also bowa.
bukango	small tendons of the tail of an animal, e.g. *Bakaindi bakali kusuma tupaya abukango bwabanyama*. = The people of long ago used to stitch the skins together with animal tail tendons. Also buzingo
bukano	a cresent-shaped dancing-axe, pl. makano, e.g. Basikuzyana balatoleela *abukano kukutambala*. = Dancers take axes with them when celebrating. Also bukaano, bukanu.
bukasi	intractableness, e.g. *Bukasi tabubonyi zibotu pe*. Being intractable does not help one to see the good things of life. (*Ooyu mwana mmukasi*. = This child is a stubborn one.)
bukata	loneliness, e.g. *Ndafwa bukata nkaambo bantu boonse amunzi tabako*. = I am lonely because none of the people are at home. Langa Mutinta baama mebo kuno bukata inga bwandijaya nkaambo tandijisi beenzuma bakwaambaula ambabo. = Look Mutinta my friend, the loneliness is killing me here because I have no friends to talk to. Kulimanya bukata wakaimba twiimbo tunji. = To end the loneliness he sang many songs.
